Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2016,1,1347 Capital Corp,6770,10-K,1606163,https://www.sec.gov/Archives/edgar/data/1606163/0001144204-16-089184-index.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420416089184/0001144204-16-089184.txt
2016,1,1347 Property Insurance Holdings/qq/ Inc.,6331,10-K,1591890,https://www.sec.gov/Archives/edgar/data/1591890/0001387131-16-004603-index.htm,https://www.sec.gov/Archives/edgar/data/1591890/000138713116004603/0001387131-16-004603.txt
2016,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001141807-16-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000114180716000010/0001141807-16-000010.txt
2016,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-16-000102-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478216000102/0000034782-16-000102.txt
2016,1,1st Century Bancshares/qq/ Inc.,6022,10-K,1420525,https://www.sec.gov/Archives/edgar/data/1420525/0001437749-16-026765-index.htm,https://www.sec.gov/Archives/edgar/data/1420525/000143774916026765/0001437749-16-026765.txt
2016,1,1st FRANKLIN FINANCIAL CORP,6141,10-K,38723,https://www.sec.gov/Archives/edgar/data/38723/0001376474-16-000618-index.htm,https://www.sec.gov/Archives/edgar/data/38723/000137647416000618/0001376474-16-000618.txt
2016,1,22nd Century Group/qq/ Inc.,2111,10-K,1347858,https://www.sec.gov/Archives/edgar/data/1347858/0001144204-16-083153-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000114420416083153/0001144204-16-083153.txt
2016,1,2U/qq/ Inc.,7372,10-K,1459417,https://www.sec.gov/Archives/edgar/data/1459417/0001047469-16-010989-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746916010989/0001047469-16-010989.txt
2016,1,3D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0000910638-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063816000016/0000910638-16-000016.txt
2016,1,3DICON CORP,3669,10-K,1375195,https://www.sec.gov/Archives/edgar/data/1375195/0001144204-16-091408-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000114420416091408/0001144204-16-091408.txt
2016,1,3M CO,3841,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001558370-16-003162-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837016003162/0001558370-16-003162.txt
2016,1,3PEA INTERNATIONAL/qq/ INC.,7389,10-K,1496443,https://www.sec.gov/Archives/edgar/data/1496443/0001019687-16-005668-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968716005668/0001019687-16-005668.txt
2016,1,4NET SOFTWARE INC,7370,10-K,812149,https://www.sec.gov/Archives/edgar/data/812149/0001144204-16-074455-index.htm,https://www.sec.gov/Archives/edgar/data/812149/000114420416074455/0001144204-16-074455.txt
2016,1,5V Inc.,6770,10-K,1504876,https://www.sec.gov/Archives/edgar/data/1504876/0001213900-16-010112-index.htm,https://www.sec.gov/Archives/edgar/data/1504876/000121390016010112/0001213900-16-010112.txt
2016,1,A&C United Agriculture Developing Inc.,0100,10-K,1539778,https://www.sec.gov/Archives/edgar/data/1539778/0001477932-16-007985-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000147793216007985/0001477932-16-007985.txt
