Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2006,1,1 800 CONTACTS INC,5961,10-K,1050122,https://www.sec.gov/Archives/edgar/data/1050122/0001104659-06-017311-index.htm,https://www.sec.gov/Archives/edgar/data/1050122/000110465906017311/0001104659-06-017311.txt
2006,1,155 East Tropicana Finance Corp.,7990,10-K,1326686,https://www.sec.gov/Archives/edgar/data/1326686/0001104659-06-021391-index.htm,https://www.sec.gov/Archives/edgar/data/1326686/000110465906021391/0001104659-06-021391.txt
2006,1,155 East Tropicana/qq/ LLC,7990,10-K,1326688,https://www.sec.gov/Archives/edgar/data/1326688/0001104659-06-021391-index.htm,https://www.sec.gov/Archives/edgar/data/1326686/000110465906021391/0001104659-06-021391.txt
2006,1,1ST CENTENNIAL BANCORP,6199,10-K,1097081,https://www.sec.gov/Archives/edgar/data/1097081/0001193125-06-062778-index.htm,https://www.sec.gov/Archives/edgar/data/1097081/000119312506062778/0001193125-06-062778.txt
2006,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001214659-06-000583-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000121465906000583/0001214659-06-000583.txt
2006,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-06-000020-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478206000020/0000034782-06-000020.txt
2006,1,21ST CENTURY HOLDING CO,6331,10-K,1069996,https://www.sec.gov/Archives/edgar/data/1069996/0001144204-06-012513-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420406012513/0001144204-06-012513.txt
2006,1,21ST CENTURY INSURANCE GROUP,6331,10-K,100331,https://www.sec.gov/Archives/edgar/data/100331/0001140361-06-002941-index.htm,https://www.sec.gov/Archives/edgar/data/100331/000114036106002941/0001140361-06-002941.txt
2006,1,24/7 REAL MEDIA INC,7310,10-K,1062195,https://www.sec.gov/Archives/edgar/data/1062195/0001104659-06-016816-index.htm,https://www.sec.gov/Archives/edgar/data/1062195/000110465906016816/0001104659-06-016816.txt
2006,1,24HOLDINGS INC,5045,10-K,1025315,https://www.sec.gov/Archives/edgar/data/1025315/0000930413-06-002599-index.htm,https://www.sec.gov/Archives/edgar/data/1025315/000093041306002599/0000930413-06-002599.txt
2006,1,3D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0001104659-06-013362-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000110465906013362/0001104659-06-013362.txt
2006,1,3M CO,2670,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001104659-06-010894-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465906010894/0001104659-06-010894.txt
2006,1,4 KIDS ENTERTAINMENT INC,6794,10-K,58592,https://www.sec.gov/Archives/edgar/data/58592/0000058592-06-000008-index.htm,https://www.sec.gov/Archives/edgar/data/58592/000005859206000008/0000058592-06-000008.txt
2006,1,724 SOLUTIONS INC,7372,10-K,1097641,https://www.sec.gov/Archives/edgar/data/1097641/0001206774-06-000632-index.htm,https://www.sec.gov/Archives/edgar/data/1097641/000120677406000632/0001206774-06-000632.txt
2006,1,@ROAD/qq/ INC,7373,10-K,1109537,https://www.sec.gov/Archives/edgar/data/1109537/0001104659-06-018622-index.htm,https://www.sec.gov/Archives/edgar/data/1109537/000110465906018622/0001104659-06-018622.txt
2006,1,A CONSULTING TEAM INC,7380,10-K,1040792,https://www.sec.gov/Archives/edgar/data/1040792/0001125282-06-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1040792/000112528206001853/0001125282-06-001853.txt
2006,1,A.C. Moore Arts & Crafts/qq/ Inc.,5945,10-K,1042809,https://www.sec.gov/Archives/edgar/data/1042809/0000950116-06-000770-index.htm,https://www.sec.gov/Archives/edgar/data/1042809/000095011606000770/0000950116-06-000770.txt
2006,1,A.I. RECEIVABLES TRANSFER CORP.,6189,10-K,1094412,https://www.sec.gov/Archives/edgar/data/1094412/0000909518-06-000339-index.htm,https://www.sec.gov/Archives/edgar/data/1094412/000090951806000339/0000909518-06-000339.txt
2006,1,AAMES INVESTMENT CORP,6798,10-K,1282552,https://www.sec.gov/Archives/edgar/data/1282552/0001104659-06-019524-index.htm,https://www.sec.gov/Archives/edgar/data/1282552/000110465906019524/0001104659-06-019524.txt
2006,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-06-000041-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660806000041/0001026608-06-000041.txt
2006,1,AARON RENTS INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000950144-06-002291-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000095014406002291/0000950144-06-002291.txt
2006,1,ABATIX CORP,5084,10-K,845779,https://www.sec.gov/Archives/edgar/data/845779/0001275287-06-001544-index.htm,https://www.sec.gov/Archives/edgar/data/845779/000127528706001544/0001275287-06-001544.txt
