Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2002,1,1 800 CONTACTS INC,3827,10-K,1050122,https://www.sec.gov/Archives/edgar/data/1050122/0000912057-02-012585-index.htm,https://www.sec.gov/Archives/edgar/data/1050122/000091205702012585/0000912057-02-012585.txt
2002,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0001157523-02-000132-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000115752302000132/0001157523-02-000132.txt
2002,1,21ST CENTURY INSURANCE GROUP,6331,10-K,100331,https://www.sec.gov/Archives/edgar/data/100331/0001015402-02-000718-index.htm,https://www.sec.gov/Archives/edgar/data/100331/000101540202000718/0001015402-02-000718.txt
2002,1,3 D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0001104659-02-000979-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000110465902000979/0001104659-02-000979.txt
2002,1,7 ELEVEN INC,5412,10-K,92344,https://www.sec.gov/Archives/edgar/data/92344/0000092344-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/92344/000009234402000002/0000092344-02-000002.txt
2002,1,724 SOLUTIONS INC,7389,10-K,1097641,https://www.sec.gov/Archives/edgar/data/1097641/0000912057-02-012401-index.htm,https://www.sec.gov/Archives/edgar/data/1097641/000091205702012401/0000912057-02-012401.txt
2002,1,A B WATLEY GROUP INC,6211,10-K,1035632,https://www.sec.gov/Archives/edgar/data/1035632/0000950136-02-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1035632/000095013602000133/0000950136-02-000133.txt
2002,1,A C MOORE ARTS & CRAFTS INC,5945,10-K,1042809,https://www.sec.gov/Archives/edgar/data/1042809/0000950116-02-000263-index.htm,https://www.sec.gov/Archives/edgar/data/1042809/000095011602000263/0000950116-02-000263.txt
2002,1,AAIPHARMA INC,8734,10-K,1013243,https://www.sec.gov/Archives/edgar/data/1013243/0000950144-02-002175-index.htm,https://www.sec.gov/Archives/edgar/data/1013243/000095014402002175/0000950144-02-002175.txt
2002,1,AAMES CAPITAL CORP MORT PASS THR CERT SER 2001-4,6189,10-K,1163716,https://www.sec.gov/Archives/edgar/data/1163716/0001020242-02-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1163716/000102024202000128/0001020242-02-000128.txt
