Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2019,1,1347 Property Insurance Holdings/qq/ Inc.,6331,10-K,1591890,https://www.sec.gov/Archives/edgar/data/1591890/0001493152-19-003648-index.htm,https://www.sec.gov/Archives/edgar/data/1591890/000149315219003648/0001493152-19-003648.txt
2019,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001141807-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000114180719000008/0001141807-19-000008.txt
2019,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478219000039/0000034782-19-000039.txt
2019,1,1st FRANKLIN FINANCIAL CORP,6141,10-K,38723,https://www.sec.gov/Archives/edgar/data/38723/0001376474-19-000061-index.htm,https://www.sec.gov/Archives/edgar/data/38723/000137647419000061/0001376474-19-000061.txt
2019,1,22nd Century Group/qq/ Inc.,2111,10-K,1347858,https://www.sec.gov/Archives/edgar/data/1347858/0001144204-19-012540-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000114420419012540/0001144204-19-012540.txt
2019,1,2U/qq/ Inc.,7372,10-K,1459417,https://www.sec.gov/Archives/edgar/data/1459417/0001104659-19-010491-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465919010491/0001104659-19-010491.txt
2019,1,3D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0000910638-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063819000004/0000910638-19-000004.txt
2019,1,3M CO,3841,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001558370-19-000470-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/0001558370-19-000470.txt
2019,1,3PEA INTERNATIONAL/qq/ INC.,7389,10-K,1496443,https://www.sec.gov/Archives/edgar/data/1496443/0001683168-19-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316819000607/0001683168-19-000607.txt
2019,1,5BARz International/qq/ Inc.,3669,10-K,1454124,https://www.sec.gov/Archives/edgar/data/1454124/0001017386-19-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1454124/000101738619000056/0001017386-19-000056.txt
2019,1,A. H. Belo Corp,2711,10-K,1413898,https://www.sec.gov/Archives/edgar/data/1413898/0001413898-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389819000008/0001413898-19-000008.txt
2019,1,A10 Networks/qq/ Inc.,3576,10-K,1580808,https://www.sec.gov/Archives/edgar/data/1580808/0001628280-19-003017-index.htm,https://www.sec.gov/Archives/edgar/data/1580808/000162828019003017/0001628280-19-003017.txt
2019,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0000824142-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414219000040/0000824142-19-000040.txt
2019,1,AARON'S INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000706688-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000070668819000026/0000706688-19-000026.txt
2019,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0001047469-19-000624-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/0001047469-19-000624.txt
2019,1,ABEONA THERAPEUTICS INC.,2834,10-K,318306,https://www.sec.gov/Archives/edgar/data/318306/0001144204-19-014623-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420419014623/0001144204-19-014623.txt
2019,1,ABRAXAS PETROLEUM CORP,1311,10-K,867665,https://www.sec.gov/Archives/edgar/data/867665/0001437749-19-005085-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000143774919005085/0001437749-19-005085.txt
2019,1,ABV CONSULTING/qq/ INC.,8742,10-K,1607450,https://www.sec.gov/Archives/edgar/data/1607450/0001640334-19-000439-index.htm,https://www.sec.gov/Archives/edgar/data/1607450/000164033419000439/0001640334-19-000439.txt
2019,1,ACACIA RESEARCH CORP,6794,10-K,934549,https://www.sec.gov/Archives/edgar/data/934549/0000934549-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454919000017/0000934549-19-000017.txt
2019,1,ACADIA PHARMACEUTICALS INC,2834,10-K,1070494,https://www.sec.gov/Archives/edgar/data/1070494/0001564590-19-004596-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459019004596/0001564590-19-004596.txt
2019,1,ACADIA REALTY TRUST,6798,10-K,899629,https://www.sec.gov/Archives/edgar/data/899629/0001564590-19-003257-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000156459019003257/0001564590-19-003257.txt
2019,1,ACCELERON PHARMA INC,2836,10-K,1280600,https://www.sec.gov/Archives/edgar/data/1280600/0001280600-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1280600/000128060019000012/0001280600-19-000012.txt
2019,1,ACCESS-POWER INC,4813,10-K,1041588,https://www.sec.gov/Archives/edgar/data/1041588/0001041588-19-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1041588/000104158819000001/0001041588-19-000001.txt
2019,1,ACCO BRANDS Corp,2780,10-K,712034,https://www.sec.gov/Archives/edgar/data/712034/0000712034-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/712034/000071203419000013/0000712034-19-000013.txt
2019,1,ACELRX PHARMACEUTICALS INC,2834,10-K,1427925,https://www.sec.gov/Archives/edgar/data/1427925/0001437749-19-004353-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774919004353/0001437749-19-004353.txt
2019,1,ACHIEVE LIFE SCIENCES/qq/ INC.,2835,10-K,949858,https://www.sec.gov/Archives/edgar/data/949858/0001564590-19-007838-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459019007838/0001564590-19-007838.txt
2019,1,ACHILLION PHARMACEUTICALS INC,2834,10-K,1070336,https://www.sec.gov/Archives/edgar/data/1070336/0001193125-19-067172-index.htm,https://www.sec.gov/Archives/edgar/data/1070336/000119312519067172/0001193125-19-067172.txt
2019,1,ACI WORLDWIDE/qq/ INC.,7372,10-K,935036,https://www.sec.gov/Archives/edgar/data/935036/0001193125-19-058622-index.htm,https://www.sec.gov/Archives/edgar/data/935036/000119312519058622/0001193125-19-058622.txt
2019,1,ACM Research/qq/ Inc.,3559,10-K,1680062,https://www.sec.gov/Archives/edgar/data/1680062/0001654954-19-002737-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000165495419002737/0001654954-19-002737.txt
2019,1,ACME UNITED CORP,3420,10-K,2098,https://www.sec.gov/Archives/edgar/data/2098/0001026608-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660819000011/0001026608-19-000011.txt
2019,1,ACNB CORP,6022,10-K,715579,https://www.sec.gov/Archives/edgar/data/715579/0001047469-19-001018-index.htm,https://www.sec.gov/Archives/edgar/data/715579/000104746919001018/0001047469-19-001018.txt
2019,1,ACORDA THERAPEUTICS INC,2836,10-K,1008848,https://www.sec.gov/Archives/edgar/data/1008848/0001564590-19-004986-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459019004986/0001564590-19-004986.txt
