Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2001,1,1 800 CONTACTS INC,3827,10-K,1050122,https://www.sec.gov/Archives/edgar/data/1050122/0000927356-01-000365-index.htm,https://www.sec.gov/Archives/edgar/data/1050122/000092735601000365/0000927356-01-000365.txt
2001,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-01-000006-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478201000006/0000034782-01-000006.txt
2001,1,21ST CENTURY INSURANCE GROUP,6331,10-K,100331,https://www.sec.gov/Archives/edgar/data/100331/0001015402-01-000850-index.htm,https://www.sec.gov/Archives/edgar/data/100331/000101540201000850/0001015402-01-000850.txt
2001,1,3 D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0000912057-01-007710-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000091205701007710/0000912057-01-007710.txt
2001,1,3 DIMENSIONAL PHARMACEUTICALS INC,2834,10-K,914201,https://www.sec.gov/Archives/edgar/data/914201/0001036050-01-000560-index.htm,https://www.sec.gov/Archives/edgar/data/914201/000103605001000560/0001036050-01-000560.txt
2001,1,4-D NEUROIMAGING,3845,10-K,729330,https://www.sec.gov/Archives/edgar/data/729330/0000912057-01-001346-index.htm,https://www.sec.gov/Archives/edgar/data/729330/000091205701001346/0000912057-01-001346.txt
2001,1,7 ELEVEN INC,5412,10-K,92344,https://www.sec.gov/Archives/edgar/data/92344/0000092344-01-000002-index.htm,https://www.sec.gov/Archives/edgar/data/92344/000009234401000002/0000092344-01-000002.txt
2001,1,724 SOLUTIONS INC,7389,10-K,1097641,https://www.sec.gov/Archives/edgar/data/1097641/0000912057-01-008661-index.htm,https://www.sec.gov/Archives/edgar/data/1097641/000091205701008661/0000912057-01-008661.txt
2001,1,99 CENTS ONLY STORE,5331,10-K,1011290,https://www.sec.gov/Archives/edgar/data/1011290/0001011290-01-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1011290/000101129001000001/0001011290-01-000001.txt
2001,1,A C MOORE ARTS & CRAFTS INC,5990,10-K,1042809,https://www.sec.gov/Archives/edgar/data/1042809/0000950116-01-000466-index.htm,https://www.sec.gov/Archives/edgar/data/1042809/000095011601000466/0000950116-01-000466.txt
2001,1,A R T INTERNATIONAL INC,3990,10-K,810269,https://www.sec.gov/Archives/edgar/data/810269/0001125282-01-000920-index.htm,https://www.sec.gov/Archives/edgar/data/810269/000112528201000920/0001125282-01-000920.txt
2001,1,AAMES MORTGAGE TRUST 2000-1,6189,10-K,1124059,https://www.sec.gov/Archives/edgar/data/1124059/0001020242-01-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1124059/000102024201000098/0001020242-01-000098.txt
2001,1,AAMES MORTGAGE TRUST 2000-2,6189,10-K,1130097,https://www.sec.gov/Archives/edgar/data/1130097/0001020242-01-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1130097/000102024201000100/0001020242-01-000100.txt
2001,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-01-500003-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660801500003/0001026608-01-500003.txt
2001,1,AARON RENTS INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000950144-01-004438-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000095014401004438/0000950144-01-004438.txt
2001,1,ABATIX CORP,5047,10-K,845779,https://www.sec.gov/Archives/edgar/data/845779/0000845779-01-000001-index.htm,https://www.sec.gov/Archives/edgar/data/845779/000084577901000001/0000845779-01-000001.txt
2001,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0000912057-01-006039-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000091205701006039/0000912057-01-006039.txt
2001,1,ABINGTON BANCORP INC,6022,10-K,812146,https://www.sec.gov/Archives/edgar/data/812146/0001005477-01-001959-index.htm,https://www.sec.gov/Archives/edgar/data/812146/000100547701001959/0001005477-01-001959.txt
2001,1,ABLEST INC,7363,10-K,46653,https://www.sec.gov/Archives/edgar/data/46653/0000950144-01-004157-index.htm,https://www.sec.gov/Archives/edgar/data/46653/000095014401004157/0000950144-01-004157.txt
2001,1,ABN AMRO MORTGAGE CORP,6189,10-K,943489,https://www.sec.gov/Archives/edgar/data/943489/0001013255-01-000100-index.htm,https://www.sec.gov/Archives/edgar/data/943489/000101325501000100/0001013255-01-000100.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1998-2,6189,10-K,1083053,https://www.sec.gov/Archives/edgar/data/1083053/0001013255-01-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1083053/000101325501000101/0001013255-01-000101.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1998-3,6189,10-K,1083054,https://www.sec.gov/Archives/edgar/data/1083054/0001013255-01-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1083054/000101325501000102/0001013255-01-000102.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1998-4,6189,10-K,1083055,https://www.sec.gov/Archives/edgar/data/1083055/0001013255-01-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1083055/000101325501000103/0001013255-01-000103.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1998-5,6189,10-K,1083056,https://www.sec.gov/Archives/edgar/data/1083056/0001013255-01-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1083056/000101325501000104/0001013255-01-000104.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1999-1,6189,10-K,1083057,https://www.sec.gov/Archives/edgar/data/1083057/0001013255-01-000105-index.htm,https://www.sec.gov/Archives/edgar/data/1083057/000101325501000105/0001013255-01-000105.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1999-2,6189,10-K,1083058,https://www.sec.gov/Archives/edgar/data/1083058/0001013255-01-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1083058/000101325501000106/0001013255-01-000106.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1999-3,6189,10-K,1083059,https://www.sec.gov/Archives/edgar/data/1083059/0001013255-01-000107-index.htm,https://www.sec.gov/Archives/edgar/data/1083059/000101325501000107/0001013255-01-000107.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1999-4,6189,10-K,1089050,https://www.sec.gov/Archives/edgar/data/1089050/0001013255-01-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1089050/000101325501000108/0001013255-01-000108.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1999-5,6189,10-K,1091361,https://www.sec.gov/Archives/edgar/data/1091361/0001013255-01-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1091361/000101325501000109/0001013255-01-000109.txt
2001,1,ABN AMRO MORTGAGE CORP SERIES 1999-6,6189,10-K,1094745,https://www.sec.gov/Archives/edgar/data/1094745/0001013255-01-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1094745/000101325501000110/0001013255-01-000110.txt
