Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2010,1,'mktg/qq/ inc.',7310,10-K,886475,https://www.sec.gov/Archives/edgar/data/886475/0001019056-10-000046-index.htm,https://www.sec.gov/Archives/edgar/data/886475/000101905610000046/0001019056-10-000046.txt
2010,1,155 East Tropicana Finance Corp.,7990,10-K,1326686,https://www.sec.gov/Archives/edgar/data/1326686/0001104659-10-017649-index.htm,https://www.sec.gov/Archives/edgar/data/1326686/000110465910017649/0001104659-10-017649.txt
2010,1,155 East Tropicana/qq/ LLC,7990,10-K,1326688,https://www.sec.gov/Archives/edgar/data/1326688/0001104659-10-017649-index.htm,https://www.sec.gov/Archives/edgar/data/1326686/000110465910017649/0001104659-10-017649.txt
2010,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001214659-10-000827-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000121465910000827/0001214659-10-000827.txt
2010,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478210000007/0000034782-10-000007.txt
2010,1,1st Century Bancshares/qq/ Inc.,6022,10-K,1420525,https://www.sec.gov/Archives/edgar/data/1420525/0001420525-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1420525/000142052510000010/0001420525-10-000010.txt
2010,1,1st FRANKLIN FINANCIAL CORP,6141,10-K,38723,https://www.sec.gov/Archives/edgar/data/38723/0000038723-10-000026-index.htm,https://www.sec.gov/Archives/edgar/data/38723/000003872310000026/0000038723-10-000026.txt
2010,1,1st Financial Services CORP,6022,10-K,1434743,https://www.sec.gov/Archives/edgar/data/1434743/0001193125-10-071556-index.htm,https://www.sec.gov/Archives/edgar/data/1434743/000119312510071556/0001193125-10-071556.txt
2010,1,1st United Bancorp/qq/ Inc.,6022,10-K,1415277,https://www.sec.gov/Archives/edgar/data/1415277/0001171200-10-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1415277/000117120010000122/0001171200-10-000122.txt
2010,1,21ST CENTURY HOLDING CO,6331,10-K,1069996,https://www.sec.gov/Archives/edgar/data/1069996/0001144204-10-015932-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420410015932/0001144204-10-015932.txt
2010,1,24HOLDINGS INC,6770,10-K,1025315,https://www.sec.gov/Archives/edgar/data/1025315/0000930413-10-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1025315/000093041310001484/0000930413-10-001484.txt
2010,1,3D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0000950123-10-016364-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000095012310016364/0000950123-10-016364.txt
2010,1,3DICON CORP,3669,10-K,1375195,https://www.sec.gov/Archives/edgar/data/1375195/0001144204-10-017666-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000114420410017666/0001144204-10-017666.txt
2010,1,3M CO,3841,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001104659-10-007295-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465910007295/0001104659-10-007295.txt
2010,1,4 KIDS ENTERTAINMENT INC,6794,10-K,58592,https://www.sec.gov/Archives/edgar/data/58592/0000058592-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/58592/000005859210000006/0000058592-10-000006.txt
2010,1,4301 Inc,9995,10-K,1353492,https://www.sec.gov/Archives/edgar/data/1353492/0001213900-10-000407-index.htm,https://www.sec.gov/Archives/edgar/data/1353492/000121390010000407/0001213900-10-000407.txt
2010,1,A.C. Moore Arts & Crafts/qq/ Inc.,5945,10-K,1042809,https://www.sec.gov/Archives/edgar/data/1042809/0000950123-10-025879-index.htm,https://www.sec.gov/Archives/edgar/data/1042809/000095012310025879/0000950123-10-025879.txt
2010,1,A.G. Volney Center/qq/ Inc,5000,10-K,1367777,https://www.sec.gov/Archives/edgar/data/1367777/0000939802-10-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1367777/000093980210000042/0000939802-10-000042.txt
2010,1,A123 SYSTEMS/qq/ INC.,3690,10-K,1167178,https://www.sec.gov/Archives/edgar/data/1167178/0001047469-10-002210-index.htm,https://www.sec.gov/Archives/edgar/data/1167178/000104746910002210/0001047469-10-002210.txt
2010,1,AAA CAPITAL ENERGY FUND L.P.,6200,10-K,1057051,https://www.sec.gov/Archives/edgar/data/1057051/0000950123-10-030618-index.htm,https://www.sec.gov/Archives/edgar/data/1057051/000095012310030618/0000950123-10-030618.txt
2010,1,AAA CAPITAL ENERGY FUND L.P. II,6221,10-K,1227268,https://www.sec.gov/Archives/edgar/data/1227268/0000950123-10-030598-index.htm,https://www.sec.gov/Archives/edgar/data/1227268/000095012310030598/0000950123-10-030598.txt
2010,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-10-000026-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660810000026/0001026608-10-000026.txt
2010,1,AARON'S INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000950123-10-018116-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000095012310018116/0000950123-10-018116.txt
2010,1,AB&T Financial CORP,6021,10-K,1435161,https://www.sec.gov/Archives/edgar/data/1435161/0001435161-10-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1435161/000143516110000015/0001435161-10-000015.txt
2010,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0001047469-10-001018-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746910001018/0001047469-10-001018.txt
2010,1,ABERCROMBIE & FITCH CO /DE/,5651,10-K,1018840,https://www.sec.gov/Archives/edgar/data/1018840/0000950123-10-029409-index.htm,https://www.sec.gov/Archives/edgar/data/1018840/000095012310029409/0000950123-10-029409.txt
2010,1,ABINGTON BANCORP/qq/ INC./PA,6036,10-K,1397533,https://www.sec.gov/Archives/edgar/data/1397533/0000950123-10-024036-index.htm,https://www.sec.gov/Archives/edgar/data/1397533/000095012310024036/0000950123-10-024036.txt
2010,1,ABOVENET INC,4899,10-K,1043533,https://www.sec.gov/Archives/edgar/data/1043533/0001144204-10-013667-index.htm,https://www.sec.gov/Archives/edgar/data/1043533/000114420410013667/0001144204-10-013667.txt
2010,1,ABRAXAS PETROLEUM CORP,1311,10-K,867665,https://www.sec.gov/Archives/edgar/data/867665/0000867665-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766510000011/0000867665-10-000011.txt
2010,1,AC Financial Services/qq/ Inc.,8741,10-K,1396710,https://www.sec.gov/Archives/edgar/data/1396710/0001104659-10-017786-index.htm,https://www.sec.gov/Archives/edgar/data/1029315/000110465910017786/0001104659-10-017786.txt
2010,1,ACACIA RESEARCH CORP,6794,10-K,934549,https://www.sec.gov/Archives/edgar/data/934549/0001019687-10-000765-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968710000765/0001019687-10-000765.txt
2010,1,ACADIA PHARMACEUTICALS INC,2834,10-K,1070494,https://www.sec.gov/Archives/edgar/data/1070494/0001193125-10-051371-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312510051371/0001193125-10-051371.txt
2010,1,ACADIA REALTY TRUST,6798,10-K,899629,https://www.sec.gov/Archives/edgar/data/899629/0000930413-10-001152-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000093041310001152/0000930413-10-001152.txt
2010,1,ACCELERIZE NEW MEDIA INC,7389,10-K,1352952,https://www.sec.gov/Archives/edgar/data/1352952/0001437749-10-000805-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774910000805/0001437749-10-000805.txt
2010,1,ACCELLENT INC,3841,10-K,1342505,https://www.sec.gov/Archives/edgar/data/1342505/0001193125-10-073515-index.htm,https://www.sec.gov/Archives/edgar/data/1342505/000119312510073515/0001193125-10-073515.txt
2010,1,ACCESS NATIONAL CORP,6035,10-K,1176316,https://www.sec.gov/Archives/edgar/data/1176316/0001144204-10-016384-index.htm,https://www.sec.gov/Archives/edgar/data/1176316/000114420410016384/0001144204-10-016384.txt
2010,1,ACCESS PHARMACEUTICALS INC,2834,10-K,318306,https://www.sec.gov/Archives/edgar/data/318306/0000318306-10-000018-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830610000018/0000318306-10-000018.txt
2010,1,ACCO BRANDS CORP,2780,10-K,712034,https://www.sec.gov/Archives/edgar/data/712034/0001193125-10-043137-index.htm,https://www.sec.gov/Archives/edgar/data/712034/000119312510043137/0001193125-10-043137.txt
2010,1,ACCURIDE CORP,3714,10-K,817979,https://www.sec.gov/Archives/edgar/data/817979/0001047469-10-002892-index.htm,https://www.sec.gov/Archives/edgar/data/817979/000104746910002892/0001047469-10-002892.txt
2010,1,ACE Consulting Management/qq/ Inc.,9995,10-K,1265848,https://www.sec.gov/Archives/edgar/data/1265848/0001213900-10-000498-index.htm,https://www.sec.gov/Archives/edgar/data/1265848/000121390010000498/0001213900-10-000498.txt
2010,1,ACE Ltd,6331,10-K,896159,https://www.sec.gov/Archives/edgar/data/896159/0001193125-10-040605-index.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312510040605/0001193125-10-040605.txt
2010,1,ACE MARKETING & PROMOTIONS INC,7310,10-K,1084267,https://www.sec.gov/Archives/edgar/data/1084267/0001019687-10-001181-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000101968710001181/0001019687-10-001181.txt
2010,1,ACHILLION PHARMACEUTICALS INC,2834,10-K,1070336,https://www.sec.gov/Archives/edgar/data/1070336/0001193125-10-053956-index.htm,https://www.sec.gov/Archives/edgar/data/1070336/000119312510053956/0001193125-10-053956.txt
2010,1,ACI WORLDWIDE/qq/ INC.,7372,10-K,935036,https://www.sec.gov/Archives/edgar/data/935036/0000950123-10-018148-index.htm,https://www.sec.gov/Archives/edgar/data/935036/000095012310018148/0000950123-10-018148.txt
2010,1,ACME PACKET INC,3576,10-K,1130258,https://www.sec.gov/Archives/edgar/data/1130258/0000950123-10-022645-index.htm,https://www.sec.gov/Archives/edgar/data/1130258/000095012310022645/0000950123-10-022645.txt
2010,1,ACME UNITED CORP,3420,10-K,2098,https://www.sec.gov/Archives/edgar/data/2098/0001026608-10-000024-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660810000024/0001026608-10-000024.txt
2010,1,ACNB CORP,6022,10-K,715579,https://www.sec.gov/Archives/edgar/data/715579/0001047469-10-002122-index.htm,https://www.sec.gov/Archives/edgar/data/715579/000104746910002122/0001047469-10-002122.txt
2010,1,ACORDA THERAPEUTICS INC,2836,10-K,1008848,https://www.sec.gov/Archives/edgar/data/1008848/0001047469-10-001554-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746910001554/0001047469-10-001554.txt
2010,1,ACORN ENERGY/qq/ INC.,7371,10-K,880984,https://www.sec.gov/Archives/edgar/data/880984/0001144204-10-014862-index.htm,https://www.sec.gov/Archives/edgar/data/880984/000114420410014862/0001144204-10-014862.txt
2010,1,ACRO INC.,8742,10-K,1228386,https://www.sec.gov/Archives/edgar/data/1228386/0001178913-10-000928-index.htm,https://www.sec.gov/Archives/edgar/data/1228386/000117891310000928/0001178913-10-000928.txt
2010,1,ACROSS AMERICA REAL ESTATE EXCHANGE/qq/ INC.,6552,10-K,1388132,https://www.sec.gov/Archives/edgar/data/1388132/0001079974-10-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1388132/000107997410000060/0001079974-10-000060.txt
2010,1,ACTEL CORP,3674,10-K,907687,https://www.sec.gov/Archives/edgar/data/907687/0000950123-10-024784-index.htm,https://www.sec.gov/Archives/edgar/data/907687/000095012310024784/0000950123-10-024784.txt
2010,1,ACTIVE POWER INC,4911,10-K,1044435,https://www.sec.gov/Archives/edgar/data/1044435/0001193125-10-047972-index.htm,https://www.sec.gov/Archives/edgar/data/1044435/000119312510047972/0001193125-10-047972.txt
2010,1,ACTUATE CORP,7372,10-K,1062478,https://www.sec.gov/Archives/edgar/data/1062478/0001193125-10-052776-index.htm,https://www.sec.gov/Archives/edgar/data/1062478/000119312510052776/0001193125-10-052776.txt
2010,1,ACURA PHARMACEUTICALS/qq/ INC,2834,10-K,786947,https://www.sec.gov/Archives/edgar/data/786947/0001144204-10-010996-index.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420410010996/0001144204-10-010996.txt
2010,1,ADA-ES INC,2890,10-K,1223112,https://www.sec.gov/Archives/edgar/data/1223112/0001193125-10-069789-index.htm,https://www.sec.gov/Archives/edgar/data/1223112/000119312510069789/0001193125-10-069789.txt
2010,1,ADAM INC,7372,10-K,863650,https://www.sec.gov/Archives/edgar/data/863650/0001193125-10-060497-index.htm,https://www.sec.gov/Archives/edgar/data/863650/000119312510060497/0001193125-10-060497.txt
2010,1,ADAMS GOLF INC,3949,10-K,1059763,https://www.sec.gov/Archives/edgar/data/1059763/0001144204-10-012309-index.htm,https://www.sec.gov/Archives/edgar/data/1059763/000114420410012309/0001144204-10-012309.txt
2010,1,ADAMS RESOURCES & ENERGY/qq/ INC.,5172,10-K,2178,https://www.sec.gov/Archives/edgar/data/2178/0000002178-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217810000008/0000002178-10-000008.txt
2010,1,ADCARE HEALTH SYSTEMS INC,8051,10-K,1004724,https://www.sec.gov/Archives/edgar/data/1004724/0001004724-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472410000008/0001004724-10-000008.txt
2010,1,ADEN SOLUTIONS INC.,4700,10-K,1427639,https://www.sec.gov/Archives/edgar/data/1427639/0001294606-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1427639/000129460610000010/0001294606-10-000010.txt
2010,1,ADEONA PHARMACEUTICALS/qq/ INC.,2834,10-K,894158,https://www.sec.gov/Archives/edgar/data/894158/0000890163-10-000093-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000089016310000093/0000890163-10-000093.txt
2010,1,ADHEREX TECHNOLOGIES INC,2836,10-K,1211583,https://www.sec.gov/Archives/edgar/data/1211583/0001116502-10-000268-index.htm,https://www.sec.gov/Archives/edgar/data/1211583/000111650210000268/0001116502-10-000268.txt
2010,1,ADINO ENERGY CORP,5171,10-K,700815,https://www.sec.gov/Archives/edgar/data/700815/0001144204-10-017207-index.htm,https://www.sec.gov/Archives/edgar/data/700815/000114420410017207/0001144204-10-017207.txt
2010,1,ADMINISTAFF INC \DE\,7363,10-K,1000753,https://www.sec.gov/Archives/edgar/data/1000753/0000950123-10-011398-index.htm,https://www.sec.gov/Archives/edgar/data/1000753/000095012310011398/0000950123-10-011398.txt
2010,1,ADOBE SYSTEMS INC,7372,10-K,796343,https://www.sec.gov/Archives/edgar/data/796343/0000796343-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634310000003/0000796343-10-000003.txt
2010,1,ADOLOR CORP,2834,10-K,1076167,https://www.sec.gov/Archives/edgar/data/1076167/0001193125-10-042406-index.htm,https://www.sec.gov/Archives/edgar/data/1076167/000119312510042406/0001193125-10-042406.txt
2010,1,ADTRAN INC,3661,10-K,926282,https://www.sec.gov/Archives/edgar/data/926282/0000950123-10-017565-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000095012310017565/0000950123-10-017565.txt
2010,1,ADVANCE AUTO PARTS INC,5531,10-K,1158449,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-10-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844910000032/0001158449-10-000032.txt
