Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2007,1,1 800 CONTACTS INC,5961,10-K,1050122,https://www.sec.gov/Archives/edgar/data/1050122/0001104659-07-019474-index.htm,https://www.sec.gov/Archives/edgar/data/1050122/000110465907019474/0001104659-07-019474.txt
2007,1,1ST CENTENNIAL BANCORP,6022,10-K,1097081,https://www.sec.gov/Archives/edgar/data/1097081/0001193125-07-050937-index.htm,https://www.sec.gov/Archives/edgar/data/1097081/000119312507050937/0001193125-07-050937.txt
2007,1,1ST INDEPENDENCE FINANCIAL GROUP/qq/ INC.,6035,10-K,946738,https://www.sec.gov/Archives/edgar/data/946738/0000946738-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/946738/000094673807000012/0000946738-07-000012.txt
2007,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-07-000024-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478207000024/0000034782-07-000024.txt
2007,1,1st Pacific Bancorp,6022,10-K,1380712,https://www.sec.gov/Archives/edgar/data/1380712/0001104659-07-022029-index.htm,https://www.sec.gov/Archives/edgar/data/1380712/000110465907022029/0001104659-07-022029.txt
2007,1,21ST CENTURY HOLDING CO,6331,10-K,1069996,https://www.sec.gov/Archives/edgar/data/1069996/0001144204-07-013168-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420407013168/0001144204-07-013168.txt
2007,1,21ST CENTURY INSURANCE GROUP,6331,10-K,100331,https://www.sec.gov/Archives/edgar/data/100331/0001140361-07-004436-index.htm,https://www.sec.gov/Archives/edgar/data/100331/000114036107004436/0001140361-07-004436.txt
2007,1,24/7 REAL MEDIA INC,7310,10-K,1062195,https://www.sec.gov/Archives/edgar/data/1062195/0001104659-07-020117-index.htm,https://www.sec.gov/Archives/edgar/data/1062195/000110465907020117/0001104659-07-020117.txt
2007,1,3M CO,3841,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001104659-07-013613-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465907013613/0001104659-07-013613.txt
2007,1,4 KIDS ENTERTAINMENT INC,6794,10-K,58592,https://www.sec.gov/Archives/edgar/data/58592/0000058592-07-000008-index.htm,https://www.sec.gov/Archives/edgar/data/58592/000005859207000008/0000058592-07-000008.txt
2007,1,A.C. Moore Arts & Crafts/qq/ Inc.,5945,10-K,1042809,https://www.sec.gov/Archives/edgar/data/1042809/0000893220-07-000695-index.htm,https://www.sec.gov/Archives/edgar/data/1042809/000089322007000695/0000893220-07-000695.txt
2007,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-07-000038-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660807000038/0001026608-07-000038.txt
2007,1,AARON RENTS INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000950144-07-001717-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000095014407001717/0000950144-07-001717.txt
2007,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0001104659-07-013496-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465907013496/0001104659-07-013496.txt
2007,1,ABERCROMBIE & FITCH CO /DE/,5651,10-K,1018840,https://www.sec.gov/Archives/edgar/data/1018840/0000950152-07-002885-index.htm,https://www.sec.gov/Archives/edgar/data/1018840/000095015207002885/0000950152-07-002885.txt
2007,1,ABFC 2006-HE1 Trust,6189,10-K,1380881,https://www.sec.gov/Archives/edgar/data/1380881/0001056404-07-001294-index.htm,https://www.sec.gov/Archives/edgar/data/1380881/000105640407001294/0001056404-07-001294.txt
2007,1,ABFC 2006-OPT1 Trust,6189,10-K,1368672,https://www.sec.gov/Archives/edgar/data/1368672/0001056404-07-001250-index.htm,https://www.sec.gov/Archives/edgar/data/1368672/000105640407001250/0001056404-07-001250.txt
2007,1,ABFC 2006-OPT2 Trust,6189,10-K,1377124,https://www.sec.gov/Archives/edgar/data/1377124/0001056404-07-001249-index.htm,https://www.sec.gov/Archives/edgar/data/1377124/000105640407001249/0001056404-07-001249.txt
2007,1,ABFC 2006-OPT3 Trust,6189,10-K,1378849,https://www.sec.gov/Archives/edgar/data/1378849/0001056404-07-001248-index.htm,https://www.sec.gov/Archives/edgar/data/1378849/000105640407001248/0001056404-07-001248.txt
2007,1,ABIGAIL ADAMS NATIONAL BANCORP INC,6021,10-K,356809,https://www.sec.gov/Archives/edgar/data/356809/0000950133-07-001471-index.htm,https://www.sec.gov/Archives/edgar/data/356809/000095013307001471/0000950133-07-001471.txt
2007,1,ABLEST INC,7363,10-K,46653,https://www.sec.gov/Archives/edgar/data/46653/0000950144-07-002191-index.htm,https://www.sec.gov/Archives/edgar/data/46653/000095014407002191/0000950144-07-002191.txt
2007,1,ABRAXAS PETROLEUM CORP,1311,10-K,867665,https://www.sec.gov/Archives/edgar/data/867665/0000867665-07-000018-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766507000018/0000867665-07-000018.txt
2007,1,ABX AIR INC,4513,10-K,894081,https://www.sec.gov/Archives/edgar/data/894081/0001193125-07-057224-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312507057224/0001193125-07-057224.txt
2007,1,ACACIA RESEARCH CORP,3670,10-K,934549,https://www.sec.gov/Archives/edgar/data/934549/0001019687-07-000715-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968707000715/0001019687-07-000715.txt
2007,1,ACADIA PHARMACEUTICALS INC,2834,10-K,1070494,https://www.sec.gov/Archives/edgar/data/1070494/0001193125-07-050871-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312507050871/0001193125-07-050871.txt
2007,1,ACADIA REALTY TRUST,6798,10-K,899629,https://www.sec.gov/Archives/edgar/data/899629/0000893220-07-000543-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089322007000543/0000893220-07-000543.txt
2007,1,ACCELLENT INC,3841,10-K,1342505,https://www.sec.gov/Archives/edgar/data/1342505/0001104659-07-018730-index.htm,https://www.sec.gov/Archives/edgar/data/1342505/000110465907018730/0001104659-07-018730.txt
2007,1,ACCO BRANDS CORP,2780,10-K,712034,https://www.sec.gov/Archives/edgar/data/712034/0000950137-07-003108-index.htm,https://www.sec.gov/Archives/edgar/data/712034/000095013707003108/0000950137-07-003108.txt
2007,1,ACCURIDE CORP,3714,10-K,817979,https://www.sec.gov/Archives/edgar/data/817979/0001104659-07-017839-index.htm,https://www.sec.gov/Archives/edgar/data/817979/000110465907017839/0001104659-07-017839.txt
2007,1,ACE LTD,6331,10-K,896159,https://www.sec.gov/Archives/edgar/data/896159/0001193125-07-043123-index.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312507043123/0001193125-07-043123.txt
2007,1,ACE Securities Corp. Home Equity Loan Trust/qq/ Series 2006-ASA,6189,10-K,1355460,https://www.sec.gov/Archives/edgar/data/1355460/0001056404-07-001338-index.htm,https://www.sec.gov/Archives/edgar/data/1355460/000105640407001338/0001056404-07-001338.txt
2007,1,ACE Securities Corp. Home Equity Loan Trust/qq/ Series 2006-ASA,6189,10-K,1363656,https://www.sec.gov/Archives/edgar/data/1363656/0001056404-07-001337-index.htm,https://www.sec.gov/Archives/edgar/data/1363656/000105640407001337/0001056404-07-001337.txt
2007,1,ACE Securities Corp. Home Equity Loan Trust/qq/ Series 2006-ASA,6189,10-K,1369689,https://www.sec.gov/Archives/edgar/data/1369689/0001056404-07-001336-index.htm,https://www.sec.gov/Archives/edgar/data/1369689/000105640407001336/0001056404-07-001336.txt
2007,1,ACE Securities Corp. Home Equity Loan Trust/qq/ Series 2006-ASA,6189,10-K,1376086,https://www.sec.gov/Archives/edgar/data/1376086/0001056404-07-001335-index.htm,https://www.sec.gov/Archives/edgar/data/1376086/000105640407001335/0001056404-07-001335.txt
2007,1,ACE Securities Corp. Home Equity Loan Trust/qq/ Series 2006-ASA,6189,10-K,1381053,https://www.sec.gov/Archives/edgar/data/1381053/0001056404-07-001334-index.htm,https://www.sec.gov/Archives/edgar/data/1381053/000105640407001334/0001056404-07-001334.txt
2007,1,ACE Securities Corp. Home Equity Loan Trust/qq/ Series 2006-HE3,6189,10-K,1365337,https://www.sec.gov/Archives/edgar/data/1365337/0001056404-07-001324-index.htm,https://www.sec.gov/Archives/edgar/data/1365337/000105640407001324/0001056404-07-001324.txt
2007,1,ACE Securities Corp. Home Equity Loan Trust/qq/ Series 2006-SD1,6189,10-K,1355482,https://www.sec.gov/Archives/edgar/data/1355482/0001056404-07-001323-index.htm,https://www.sec.gov/Archives/edgar/data/1355482/000105640407001323/0001056404-07-001323.txt
2007,1,ACE Securities Corp. Home Equity Loan Trust/qq/ Series 2006-SL3,6189,10-K,1366140,https://www.sec.gov/Archives/edgar/data/1366140/0001056404-07-001321-index.htm,https://www.sec.gov/Archives/edgar/data/1366140/000105640407001321/0001056404-07-001321.txt
