Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2005,1,1 800 CONTACTS INC,5961,10-K,1050122,https://www.sec.gov/Archives/edgar/data/1050122/0001047469-05-006925-index.htm,https://www.sec.gov/Archives/edgar/data/1050122/000104746905006925/0001047469-05-006925.txt
2005,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001193125-05-059919-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000119312505059919/0001193125-05-059919.txt
2005,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-05-000025-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478205000025/0000034782-05-000025.txt
2005,1,21ST CENTURY HOLDING CO,6331,10-K,1069996,https://www.sec.gov/Archives/edgar/data/1069996/0001144204-05-009759-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420405009759/0001144204-05-009759.txt
2005,1,21ST CENTURY INSURANCE GROUP,6331,10-K,100331,https://www.sec.gov/Archives/edgar/data/100331/0001015402-05-000854-index.htm,https://www.sec.gov/Archives/edgar/data/100331/000101540205000854/0001015402-05-000854.txt
2005,1,24/7 REAL MEDIA INC,7310,10-K,1062195,https://www.sec.gov/Archives/edgar/data/1062195/0001047469-05-006790-index.htm,https://www.sec.gov/Archives/edgar/data/1062195/000104746905006790/0001047469-05-006790.txt
2005,1,3D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0001047469-05-005988-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000104746905005988/0001047469-05-005988.txt
2005,1,3M CO,2670,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001104659-05-008057-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465905008057/0001104659-05-008057.txt
2005,1,4 KIDS ENTERTAINMENT INC,6794,10-K,58592,https://www.sec.gov/Archives/edgar/data/58592/0000058592-05-000004-index.htm,https://www.sec.gov/Archives/edgar/data/58592/000005859205000004/0000058592-05-000004.txt
2005,1,7 ELEVEN INC,5412,10-K,92344,https://www.sec.gov/Archives/edgar/data/92344/0001193125-05-052213-index.htm,https://www.sec.gov/Archives/edgar/data/92344/000119312505052213/0001193125-05-052213.txt
2005,1,724 SOLUTIONS INC,7372,10-K,1097641,https://www.sec.gov/Archives/edgar/data/1097641/0001206774-05-000382-index.htm,https://www.sec.gov/Archives/edgar/data/1097641/000120677405000382/0001206774-05-000382.txt
2005,1,99 CENT STUFF INC,5331,10-K,1176435,https://www.sec.gov/Archives/edgar/data/1176435/0001116502-05-000579-index.htm,https://www.sec.gov/Archives/edgar/data/1176435/000111650205000579/0001116502-05-000579.txt
2005,1,@ROAD/qq/ INC,7373,10-K,1109537,https://www.sec.gov/Archives/edgar/data/1109537/0001047469-05-006453-index.htm,https://www.sec.gov/Archives/edgar/data/1109537/000104746905006453/0001047469-05-006453.txt
2005,1,A CONSULTING TEAM INC,7380,10-K,1040792,https://www.sec.gov/Archives/edgar/data/1040792/0001125282-05-001571-index.htm,https://www.sec.gov/Archives/edgar/data/1040792/000112528205001571/0001125282-05-001571.txt
2005,1,A.C. Moore Arts & Crafts/qq/ Inc.,5945,10-K,1042809,https://www.sec.gov/Archives/edgar/data/1042809/0000950116-05-001035-index.htm,https://www.sec.gov/Archives/edgar/data/1042809/000095011605001035/0000950116-05-001035.txt
2005,1,A.I. RECEIVABLES TRANSFER CORP.,6189,10-K,1094412,https://www.sec.gov/Archives/edgar/data/1094412/0000909518-05-000215-index.htm,https://www.sec.gov/Archives/edgar/data/1094412/000090951805000215/0000909518-05-000215.txt
2005,1,AAMES INVESTMENT CORP,6798,10-K,1282552,https://www.sec.gov/Archives/edgar/data/1282552/0001193125-05-066826-index.htm,https://www.sec.gov/Archives/edgar/data/1282552/000119312505066826/0001193125-05-066826.txt
2005,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-05-000013-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660805000013/0001026608-05-000013.txt
2005,1,AARON RENTS INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0001104659-05-009960-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000110465905009960/0001104659-05-009960.txt
2005,1,AAVID THERMAL TECHNOLOGIES INC,3679,10-K,1003481,https://www.sec.gov/Archives/edgar/data/1003481/0000950135-05-001666-index.htm,https://www.sec.gov/Archives/edgar/data/1003481/000095013505001666/0000950135-05-001666.txt
