Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2013,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001214659-13-001586-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000121465913001586/0001214659-13-001586.txt
2013,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0001104659-13-013249-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000110465913013249/0001104659-13-013249.txt
2013,1,1st Century Bancshares/qq/ Inc.,6022,10-K,1420525,https://www.sec.gov/Archives/edgar/data/1420525/0001437749-13-002434-index.htm,https://www.sec.gov/Archives/edgar/data/1420525/000143774913002434/0001437749-13-002434.txt
2013,1,1st Financial Services CORP,6022,10-K,1434743,https://www.sec.gov/Archives/edgar/data/1434743/0001354488-13-000973-index.htm,https://www.sec.gov/Archives/edgar/data/1434743/000135448813000973/0001354488-13-000973.txt
2013,1,1st United Bancorp/qq/ Inc.,6022,10-K,1415277,https://www.sec.gov/Archives/edgar/data/1415277/0001171200-13-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1415277/000117120013000035/0001171200-13-000035.txt
2013,1,22nd Century Group/qq/ Inc.,2111,10-K,1347858,https://www.sec.gov/Archives/edgar/data/1347858/0001144204-13-015871-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000114420413015871/0001144204-13-015871.txt
2013,1,24HOLDINGS INC,6770,10-K,1025315,https://www.sec.gov/Archives/edgar/data/1025315/0001144204-13-017798-index.htm,https://www.sec.gov/Archives/edgar/data/1025315/000114420413017798/0001144204-13-017798.txt
2013,1,250 WEST 57TH ST ASSOCIATES L.L.C.,6512,10-K,100412,https://www.sec.gov/Archives/edgar/data/100412/0001193125-13-132246-index.htm,https://www.sec.gov/Archives/edgar/data/100412/000119312513132246/0001193125-13-132246.txt
2013,1,360 GLOBAL WINE CO,2080,10-K,1124019,https://www.sec.gov/Archives/edgar/data/1124019/0001124019-13-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1124019/000112401913000001/0001124019-13-000001.txt
2013,1,360 GLOBAL WINE CO,2080,10-K,1124019,https://www.sec.gov/Archives/edgar/data/1124019/0001124019-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1124019/000112401913000005/0001124019-13-000005.txt
