Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
1994,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0000912057-94-000771-index.htm,https://www.sec.gov/Archives/edgar/data/1800/0000912057-94-000771.txt
1994,1,ACCEPTANCE INSURANCE COMPANIES INC,6199,10-K,74783,https://www.sec.gov/Archives/edgar/data/74783/0000074783-94-000006-index.htm,https://www.sec.gov/Archives/edgar/data/74783/0000074783-94-000006.txt
1994,1,ACE HARDWARE CORP,5070,10-K,2024,https://www.sec.gov/Archives/edgar/data/2024/0000002024-94-000010-index.htm,https://www.sec.gov/Archives/edgar/data/2024/0000002024-94-000010.txt
1994,1,ACME METALS INC /DE/,3312,10-K,883702,https://www.sec.gov/Archives/edgar/data/883702/0000912057-94-001064-index.htm,https://www.sec.gov/Archives/edgar/data/883702/0000912057-94-001064.txt
1994,1,ACTAVA GROUP INC,7384,10-K,39547,https://www.sec.gov/Archives/edgar/data/39547/0000950144-94-000799-index.htm,https://www.sec.gov/Archives/edgar/data/39547/0000950144-94-000799.txt
1994,1,ADC TELECOMMUNICATIONS INC,3661,10-K,61478,https://www.sec.gov/Archives/edgar/data/61478/0000912057-94-000081-index.htm,https://www.sec.gov/Archives/edgar/data/61478/0000912057-94-000081.txt
1994,1,ADDINGTON RESOURCES INC,1221,10-K,810665,https://www.sec.gov/Archives/edgar/data/810665/0000950131-94-000459-index.htm,https://www.sec.gov/Archives/edgar/data/810665/0000950131-94-000459.txt
1994,1,ADVANCED MICRO DEVICES INC,3674,10-K,2488,https://www.sec.gov/Archives/edgar/data/2488/0000891618-94-000068-index.htm,https://www.sec.gov/Archives/edgar/data/2488/0000891618-94-000068.txt
1994,1,ADVANCED TECHNOLOGY LABORATORIES INC/,3845,10-K,806086,https://www.sec.gov/Archives/edgar/data/806086/0000950109-94-000357-index.htm,https://www.sec.gov/Archives/edgar/data/806086/0000950109-94-000357.txt
1994,1,ADVANTA CORP,6141,10-K,96638,https://www.sec.gov/Archives/edgar/data/96638/0000893220-94-000181-index.htm,https://www.sec.gov/Archives/edgar/data/96638/000089322094000181/0000893220-94-000181.txt
1994,1,AEP GENERATING CO /OH/,4911,10-K,857571,https://www.sec.gov/Archives/edgar/data/857571/0000857571-94-000003-index.htm,https://www.sec.gov/Archives/edgar/data/857571/0000857571-94-000003.txt
1994,1,AETNA LIFE & CASUALTY CO,6311,10-K,2648,https://www.sec.gov/Archives/edgar/data/2648/0000002648-94-000012-index.htm,https://www.sec.gov/Archives/edgar/data/2648/0000002648-94-000012.txt
1994,1,AFLAC INC,6321,10-K,4977,https://www.sec.gov/Archives/edgar/data/4977/0000004977-94-000006-index.htm,https://www.sec.gov/Archives/edgar/data/4977/0000004977-94-000006.txt
1994,1,AHMANSON H F & CO /DE/,6035,10-K,771667,https://www.sec.gov/Archives/edgar/data/771667/0000898430-94-000237-index.htm,https://www.sec.gov/Archives/edgar/data/771667/0000898430-94-000237.txt
1994,1,AIR EXPRESS INTERNATIONAL CORP /DE/,4731,10-K,700674,https://www.sec.gov/Archives/edgar/data/700674/0000909518-94-000054-index.htm,https://www.sec.gov/Archives/edgar/data/700674/0000909518-94-000054.txt
1994,1,AIRBORNE FREIGHT CORP /DE/,4513,10-K,3000,https://www.sec.gov/Archives/edgar/data/3000/0000891020-94-000052-index.htm,https://www.sec.gov/Archives/edgar/data/3000/0000891020-94-000052.txt
1994,1,ALABAMA POWER CO,4911,10-K,3153,https://www.sec.gov/Archives/edgar/data/3153/0000950144-94-000714-index.htm,https://www.sec.gov/Archives/edgar/data/3153/0000950144-94-000714.txt
1994,1,ALASKA AIR GROUP INC,4512,10-K,766421,https://www.sec.gov/Archives/edgar/data/766421/0000766421-94-000003-index.htm,https://www.sec.gov/Archives/edgar/data/766421/0000766421-94-000003.txt
1994,1,ALBANY INTERNATIONAL CORP /DE/,2221,10-K,819793,https://www.sec.gov/Archives/edgar/data/819793/0000912057-94-001023-index.htm,https://www.sec.gov/Archives/edgar/data/819793/0000912057-94-001023.txt
1994,1,ALC COMMUNICATIONS CORP,4813,10-K,783425,https://www.sec.gov/Archives/edgar/data/783425/0000950124-94-000645-index.htm,https://www.sec.gov/Archives/edgar/data/783425/0000950124-94-000645.txt
1994,1,ALCOA INTERNATIONAL HOLDINGS CO,2810,10-K,836243,https://www.sec.gov/Archives/edgar/data/836243/0000836243-94-000003-index.htm,https://www.sec.gov/Archives/edgar/data/836243/0000836243-94-000003.txt
1994,1,ALEXANDER & ALEXANDER SERVICES INC,6411,10-K,3449,https://www.sec.gov/Archives/edgar/data/3449/0000950112-94-000842-index.htm,https://www.sec.gov/Archives/edgar/data/3449/0000950112-94-000842.txt
1994,1,ALLEGHANY CORP /DE,6361,10-K,775368,https://www.sec.gov/Archives/edgar/data/775368/0000950123-94-000624-index.htm,https://www.sec.gov/Archives/edgar/data/775368/0000950123-94-000624.txt
1994,1,ALLEGHENY & WESTERN RAILWAY CO,6519,10-K,3650,https://www.sec.gov/Archives/edgar/data/3650/0000003650-94-000001-index.htm,https://www.sec.gov/Archives/edgar/data/3650/0000003650-94-000001.txt
1994,1,ALLEGHENY GENERATING CO,4911,10-K,774459,https://www.sec.gov/Archives/edgar/data/774459/0000003673-94-000037-index.htm,https://www.sec.gov/Archives/edgar/data/67646/0000003673-94-000037.txt
1994,1,ALLEGHENY LUDLUM CORP,3312,10-K,811929,https://www.sec.gov/Archives/edgar/data/811929/0000950132-94-000076-index.htm,https://www.sec.gov/Archives/edgar/data/811929/0000950132-94-000076.txt
1994,1,ALLEGHENY POWER SYSTEM INC,4911,10-K,3673,https://www.sec.gov/Archives/edgar/data/3673/0000003673-94-000020-index.htm,https://www.sec.gov/Archives/edgar/data/3673/0000003673-94-000020.txt
1994,1,ALLERGAN INC,2834,10-K,850693,https://www.sec.gov/Archives/edgar/data/850693/0000892569-94-000085-index.htm,https://www.sec.gov/Archives/edgar/data/850693/0000892569-94-000085.txt
1994,1,ALLIANCE CAPITAL MANAGEMENT LP,6282,10-K,825313,https://www.sec.gov/Archives/edgar/data/825313/0000912057-94-001177-index.htm,https://www.sec.gov/Archives/edgar/data/825313/000091205794001177/0000912057-94-001177.txt
1994,1,ALLNET COMMUNICATION SERVICES INC,4813,10-K,716612,https://www.sec.gov/Archives/edgar/data/716612/0000950124-94-000644-index.htm,https://www.sec.gov/Archives/edgar/data/716612/0000950124-94-000644.txt
