Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
1998,1,1626 NEW YORK ASSOCIATES LTD PARTNERSHIP,6500,10-K,767411,https://www.sec.gov/Archives/edgar/data/767411/0000889812-98-000835-index.htm,https://www.sec.gov/Archives/edgar/data/767411/0000889812-98-000835.txt
1998,1,1ST COMMUNITY BANCORP INC,6022,10-K,803164,https://www.sec.gov/Archives/edgar/data/803164/0000905729-98-000081-index.htm,https://www.sec.gov/Archives/edgar/data/803164/0000905729-98-000081.txt
1998,1,20TH CENTURY INDUSTRIES,6331,10-K,100331,https://www.sec.gov/Archives/edgar/data/100331/0001047469-98-012802-index.htm,https://www.sec.gov/Archives/edgar/data/100331/0001047469-98-012802.txt
1998,1,3 D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0001047469-98-012028-index.htm,https://www.sec.gov/Archives/edgar/data/910638/0001047469-98-012028.txt
1998,1,360 COMMUNICATIONS CO,4813,10-K,1003959,https://www.sec.gov/Archives/edgar/data/1003959/0001003959-98-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1003959/0001003959-98-000013.txt
1998,1,3CI COMPLETE COMPLIANCE CORP,4955,10-K,883787,https://www.sec.gov/Archives/edgar/data/883787/0000950129-98-000153-index.htm,https://www.sec.gov/Archives/edgar/data/883787/0000950129-98-000153.txt
1998,1,3DFX INTERACTIVE INC,7372,10-K,1010026,https://www.sec.gov/Archives/edgar/data/1010026/0000891618-98-000818-index.htm,https://www.sec.gov/Archives/edgar/data/1010026/0000891618-98-000818.txt
1998,1,3DX TECHNOLOGIES INC,1311,10-K,915518,https://www.sec.gov/Archives/edgar/data/915518/0000950129-98-001375-index.htm,https://www.sec.gov/Archives/edgar/data/915518/0000950129-98-001375.txt
1998,1,800 JR CIGAR INC,5190,10-K,1035507,https://www.sec.gov/Archives/edgar/data/1035507/0001035507-98-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1035507/0001035507-98-000002.txt
1998,1,800 TRAVEL SYSTEMS INC,4700,10-K,1039208,https://www.sec.gov/Archives/edgar/data/1039208/0001005477-98-001037-index.htm,https://www.sec.gov/Archives/edgar/data/1039208/0001005477-98-001037.txt
1998,1,A C MOORE ARTS & CRAFTS INC,5990,10-K,1042809,https://www.sec.gov/Archives/edgar/data/1042809/0000950116-98-000660-index.htm,https://www.sec.gov/Archives/edgar/data/1042809/0000950116-98-000660.txt
1998,1,A M MILLER & ASSOCIATES INC,7320,10-K,1029301,https://www.sec.gov/Archives/edgar/data/1029301/0000950127-98-000156-index.htm,https://www.sec.gov/Archives/edgar/data/76741/0000950127-98-000156.txt
1998,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-98-000005-index.htm,https://www.sec.gov/Archives/edgar/data/824142/0001026608-98-000005.txt
1998,1,AARON RENTS INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000950144-98-003864-index.htm,https://www.sec.gov/Archives/edgar/data/706688/0000950144-98-003864.txt
1998,1,AASCHE TRANSPORTATION SERVICES INC,4213,10-K,927809,https://www.sec.gov/Archives/edgar/data/927809/0000950137-98-001360-index.htm,https://www.sec.gov/Archives/edgar/data/927809/0000950137-98-001360.txt
1998,1,ABACUS DIRECT CORP,7331,10-K,1021080,https://www.sec.gov/Archives/edgar/data/1021080/0000950134-98-002822-index.htm,https://www.sec.gov/Archives/edgar/data/1021080/0000950134-98-002822.txt
1998,1,ABATIX ENVIRONMENTAL CORP,5047,10-K,845779,https://www.sec.gov/Archives/edgar/data/845779/0000845779-98-000002-index.htm,https://www.sec.gov/Archives/edgar/data/845779/0000845779-98-000002.txt
1998,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0001047469-98-009108-index.htm,https://www.sec.gov/Archives/edgar/data/1800/0001047469-98-009108.txt
1998,1,ABLE TELCOM HOLDING CORP,1731,10-K,826411,https://www.sec.gov/Archives/edgar/data/826411/0000950170-98-000282-index.htm,https://www.sec.gov/Archives/edgar/data/826411/0000950170-98-000282.txt
1998,1,ABRAXAS PETROLEUM CORP,1311,10-K,867665,https://www.sec.gov/Archives/edgar/data/867665/0000867665-98-000008-index.htm,https://www.sec.gov/Archives/edgar/data/867665/0000867665-98-000008.txt
1998,1,ABT BUILDING PRODUCTS CORP,2400,10-K,902476,https://www.sec.gov/Archives/edgar/data/902476/0000950130-98-001359-index.htm,https://www.sec.gov/Archives/edgar/data/902476/0000950130-98-001359.txt
1998,1,ACCENT COLOR SCIENCES INC,3577,10-K,921898,https://www.sec.gov/Archives/edgar/data/921898/0000921898-98-000020-index.htm,https://www.sec.gov/Archives/edgar/data/921898/0000921898-98-000020.txt
1998,1,ACCENT SOFTWARE INTERNATIONAL LTD,7372,10-K,945321,https://www.sec.gov/Archives/edgar/data/945321/0001047469-98-013172-index.htm,https://www.sec.gov/Archives/edgar/data/945321/0001047469-98-013172.txt
1998,1,ACCEPTANCE INSURANCE COMPANIES INC,6331,10-K,74783,https://www.sec.gov/Archives/edgar/data/74783/0000074783-98-000003-index.htm,https://www.sec.gov/Archives/edgar/data/74783/0000074783-98-000003.txt
1998,1,ACCOUNT PORTFOLIOS GP INC,7320,10-K,1029715,https://www.sec.gov/Archives/edgar/data/1029715/0000950127-98-000156-index.htm,https://www.sec.gov/Archives/edgar/data/76741/0000950127-98-000156.txt
1998,1,ACCOUNT PORTFOLIOS INC,7320,10-K,1029307,https://www.sec.gov/Archives/edgar/data/1029307/0000950127-98-000156-index.htm,https://www.sec.gov/Archives/edgar/data/76741/0000950127-98-000156.txt
1998,1,ACCOUNT PORTFOLIOS LP,7320,10-K,1029308,https://www.sec.gov/Archives/edgar/data/1029308/0000950127-98-000156-index.htm,https://www.sec.gov/Archives/edgar/data/76741/0000950127-98-000156.txt
1998,1,ACCUSTAFF INC,7363,10-K,924646,https://www.sec.gov/Archives/edgar/data/924646/0000924646-98-000003-index.htm,https://www.sec.gov/Archives/edgar/data/924646/0000924646-98-000003.txt
1998,1,ACKERLEY GROUP INC,7310,10-K,319120,https://www.sec.gov/Archives/edgar/data/319120/0000891554-98-000357-index.htm,https://www.sec.gov/Archives/edgar/data/319120/0000891554-98-000357.txt
1998,1,ACMAT CORP,6351,10-K,2062,https://www.sec.gov/Archives/edgar/data/2062/0000914039-98-000133-index.htm,https://www.sec.gov/Archives/edgar/data/2062/0000914039-98-000133.txt
1998,1,ACME UNITED CORP,3420,10-K,2098,https://www.sec.gov/Archives/edgar/data/2098/0001026608-98-000010-index.htm,https://www.sec.gov/Archives/edgar/data/2098/0001026608-98-000010.txt
1998,1,ACNIELSEN CORP,8700,10-K,1019878,https://www.sec.gov/Archives/edgar/data/1019878/0001019878-98-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1019878/0001019878-98-000005.txt
1998,1,ACT MANUFACTURING INC,3672,10-K,937971,https://www.sec.gov/Archives/edgar/data/937971/0000927016-98-001316-index.htm,https://www.sec.gov/Archives/edgar/data/937971/0000927016-98-001316.txt
1998,1,ACTEL CORP,3672,10-K,907687,https://www.sec.gov/Archives/edgar/data/907687/0000907687-98-000026-index.htm,https://www.sec.gov/Archives/edgar/data/907687/0000907687-98-000026.txt
1998,1,ACTV INC /DE/,3663,10-K,854152,https://www.sec.gov/Archives/edgar/data/854152/0000950146-98-000517-index.htm,https://www.sec.gov/Archives/edgar/data/854152/0000950146-98-000517.txt
1998,1,ACUSON CORP,3845,10-K,717014,https://www.sec.gov/Archives/edgar/data/717014/0001012870-98-000763-index.htm,https://www.sec.gov/Archives/edgar/data/717014/0001012870-98-000763.txt
1998,1,ACX TECHNOLOGIES INC,2650,10-K,892793,https://www.sec.gov/Archives/edgar/data/892793/0000892793-98-000011-index.htm,https://www.sec.gov/Archives/edgar/data/892793/0000892793-98-000011.txt
1998,1,ADAMS OUTDOOR ADVERTISING INC,7310,10-K,1011977,https://www.sec.gov/Archives/edgar/data/1011977/0000950109-98-002358-index.htm,https://www.sec.gov/Archives/edgar/data/1011976/0000950109-98-002358.txt
1998,1,ADAMS OUTDOOR ADVERTISING LTD PARTNERSHIP,7310,10-K,1011976,https://www.sec.gov/Archives/edgar/data/1011976/0000950109-98-002358-index.htm,https://www.sec.gov/Archives/edgar/data/1011976/0000950109-98-002358.txt
1998,1,ADAPTIVE SOLUTIONS INC,3576,10-K,873952,https://www.sec.gov/Archives/edgar/data/873952/0001047469-98-012560-index.htm,https://www.sec.gov/Archives/edgar/data/873952/0001047469-98-012560.txt
1998,1,ADC TELECOMMUNICATIONS INC,3661,10-K,61478,https://www.sec.gov/Archives/edgar/data/61478/0001047469-98-001384-index.htm,https://www.sec.gov/Archives/edgar/data/61478/0001047469-98-001384.txt
1998,1,ADFLEX SOLUTIONS INC,3678,10-K,925743,https://www.sec.gov/Archives/edgar/data/925743/0000950153-98-000268-index.htm,https://www.sec.gov/Archives/edgar/data/925743/0000950153-98-000268.txt
1998,1,ADMINISTAFF INC \DE\,7363,10-K,1000753,https://www.sec.gov/Archives/edgar/data/1000753/0000950129-98-001035-index.htm,https://www.sec.gov/Archives/edgar/data/1000753/0000950129-98-001035.txt
1998,1,ADOBE SYSTEMS INC,7372,10-K,796343,https://www.sec.gov/Archives/edgar/data/796343/0001047469-98-006671-index.htm,https://www.sec.gov/Archives/edgar/data/796343/0001047469-98-006671.txt
1998,1,ADTRAN INC,3661,10-K,926282,https://www.sec.gov/Archives/edgar/data/926282/0000926282-98-000003-index.htm,https://www.sec.gov/Archives/edgar/data/926282/0000926282-98-000003.txt
1998,1,ADVANCED DIGITAL INFORMATION CORP,3577,10-K,770403,https://www.sec.gov/Archives/edgar/data/770403/0001047469-98-001915-index.htm,https://www.sec.gov/Archives/edgar/data/770403/0001047469-98-001915.txt
1998,1,ADVANCED FIBRE COMMUNICATIONS INC,3661,10-K,898805,https://www.sec.gov/Archives/edgar/data/898805/0000950149-98-000476-index.htm,https://www.sec.gov/Archives/edgar/data/898805/0000950149-98-000476.txt
1998,1,ADVANCED MACHINE VISION CORP,3823,10-K,795445,https://www.sec.gov/Archives/edgar/data/795445/0000795445-98-000007-index.htm,https://www.sec.gov/Archives/edgar/data/795445/0000795445-98-000007.txt
1998,1,ADVANCED POLYMER SYSTEMS INC /DE/,2821,10-K,818033,https://www.sec.gov/Archives/edgar/data/818033/0000818033-98-000006-index.htm,https://www.sec.gov/Archives/edgar/data/818033/0000818033-98-000006.txt
1998,1,ADVANCED RADIO TELECOM CORP,4841,10-K,1010286,https://www.sec.gov/Archives/edgar/data/1010286/0000927016-98-001284-index.htm,https://www.sec.gov/Archives/edgar/data/1010286/0000927016-98-001284.txt
1998,1,ADVANCED TISSUE SCIENCES INC,2836,10-K,829549,https://www.sec.gov/Archives/edgar/data/829549/0000829549-98-000008-index.htm,https://www.sec.gov/Archives/edgar/data/829549/0000829549-98-000008.txt
1998,1,ADVANTA CORP,6141,10-K,96638,https://www.sec.gov/Archives/edgar/data/96638/0000893220-98-000640-index.htm,https://www.sec.gov/Archives/edgar/data/96638/0000893220-98-000640.txt
1998,1,ADVANTA CREDIT CARD MASTER TRUST I,6189,10-K,889604,https://www.sec.gov/Archives/edgar/data/889604/0001056909-98-000003-index.htm,https://www.sec.gov/Archives/edgar/data/889604/0001056909-98-000003.txt
1998,1,ADVANTAGE LEARNING SYSTEMS INC,7372,10-K,1030484,https://www.sec.gov/Archives/edgar/data/1030484/0000950124-98-001422-index.htm,https://www.sec.gov/Archives/edgar/data/1030484/0000950124-98-001422.txt
1998,1,ADVANTICA RESTAURANT GROUP INC,5812,10-K,852772,https://www.sec.gov/Archives/edgar/data/852772/0000950168-98-000988-index.htm,https://www.sec.gov/Archives/edgar/data/852772/0000950168-98-000988.txt
1998,1,ADVATEX ASSOCIATES INC,7389,10-K,820906,https://www.sec.gov/Archives/edgar/data/820906/0000890163-98-000060-index.htm,https://www.sec.gov/Archives/edgar/data/820906/0000890163-98-000060.txt
1998,1,ADVEN INC,6770,10-K,802206,https://www.sec.gov/Archives/edgar/data/802206/0000802206-98-000003-index.htm,https://www.sec.gov/Archives/edgar/data/802206/0000802206-98-000003.txt
1998,1,ADVENT SOFTWARE INC /DE/,7371,10-K,1002225,https://www.sec.gov/Archives/edgar/data/1002225/0001002225-98-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1002225/0001002225-98-000006.txt
1998,1,AERIAL COMMUNICATIONS INC,4812,10-K,1008614,https://www.sec.gov/Archives/edgar/data/1008614/0001047469-98-012773-index.htm,https://www.sec.gov/Archives/edgar/data/1008614/0001047469-98-012773.txt
1998,1,AERO SYSTEMS ENGINEERING INC,8711,10-K,2589,https://www.sec.gov/Archives/edgar/data/2589/0000897101-98-000220-index.htm,https://www.sec.gov/Archives/edgar/data/2589/0000897101-98-000220.txt
1998,1,AES CHINA GENERATING CO LTD,4991,10-K,916792,https://www.sec.gov/Archives/edgar/data/916792/0000893838-98-000053-index.htm,https://www.sec.gov/Archives/edgar/data/916792/0000893838-98-000053.txt
1998,1,AES CORPORATION,4991,10-K,874761,https://www.sec.gov/Archives/edgar/data/874761/0001005150-98-000277-index.htm,https://www.sec.gov/Archives/edgar/data/874761/0001005150-98-000277.txt
1998,1,AETNA INSURANCE CO OF AMERICA,0000,10-K,925988,https://www.sec.gov/Archives/edgar/data/925988/0000950146-98-000492-index.htm,https://www.sec.gov/Archives/edgar/data/925988/0000950146-98-000492.txt
1998,1,AETNA LIFE INSURANCE & ANNUITY CO /CT,6311,10-K,837010,https://www.sec.gov/Archives/edgar/data/837010/0000950146-98-000467-index.htm,https://www.sec.gov/Archives/edgar/data/837010/0000950146-98-000467.txt
1998,1,AETNA REAL ESTATE ASSOCIATES L P,6500,10-K,785860,https://www.sec.gov/Archives/edgar/data/785860/0000928790-98-000058-index.htm,https://www.sec.gov/Archives/edgar/data/785860/0000928790-98-000058.txt
1998,1,AFC CABLE SYSTEMS INC,3357,10-K,913360,https://www.sec.gov/Archives/edgar/data/913360/0001047469-98-013198-index.htm,https://www.sec.gov/Archives/edgar/data/913360/0001047469-98-013198.txt
1998,1,AFC ENTERPRISES INC,5812,10-K,1041379,https://www.sec.gov/Archives/edgar/data/1041379/0000931763-98-000800-index.htm,https://www.sec.gov/Archives/edgar/data/1041379/0000931763-98-000800.txt
1998,1,AFFINITY GROUP HOLDING INC,7900,10-K,1038622,https://www.sec.gov/Archives/edgar/data/1038622/0001047469-98-012635-index.htm,https://www.sec.gov/Archives/edgar/data/1038622/0001047469-98-012635.txt
1998,1,AFFINITY GROUP INC,7900,10-K,910560,https://www.sec.gov/Archives/edgar/data/910560/0001047469-98-012634-index.htm,https://www.sec.gov/Archives/edgar/data/910560/0001047469-98-012634.txt
1998,1,AFFINITY TECHNOLOGY GROUP INC,7373,10-K,1007508,https://www.sec.gov/Archives/edgar/data/1007508/0001007508-98-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1007508/0001007508-98-000002.txt
1998,1,AFG INVESTMENT TRUST A,7359,10-K,879494,https://www.sec.gov/Archives/edgar/data/879494/0001047469-98-012989-index.htm,https://www.sec.gov/Archives/edgar/data/879494/0001047469-98-012989.txt
1998,1,AFG INVESTMENT TRUST B,7359,10-K,879495,https://www.sec.gov/Archives/edgar/data/879495/0001047469-98-012994-index.htm,https://www.sec.gov/Archives/edgar/data/879495/0001047469-98-012994.txt
