Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
1997,1,20TH CENTURY INDUSTRIES,6331,10-K,100331,https://www.sec.gov/Archives/edgar/data/100331/0000912057-97-011097-index.htm,https://www.sec.gov/Archives/edgar/data/100331/0000912057-97-011097.txt
1997,1,3 D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0000912057-97-011334-index.htm,https://www.sec.gov/Archives/edgar/data/910638/0000912057-97-011334.txt
1997,1,360 COMMUNICATIONS CO,4813,10-K,1003959,https://www.sec.gov/Archives/edgar/data/1003959/0001003959-97-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1003959/0001003959-97-000013.txt
1997,1,3CI COMPLETE COMPLIANCE CORP,4955,10-K,883787,https://www.sec.gov/Archives/edgar/data/883787/0000950129-97-000130-index.htm,https://www.sec.gov/Archives/edgar/data/883787/0000950129-97-000130.txt
1997,1,3DX TECHNOLOGIES INC,1311,10-K,915518,https://www.sec.gov/Archives/edgar/data/915518/0000899243-97-000488-index.htm,https://www.sec.gov/Archives/edgar/data/915518/0000899243-97-000488.txt
1997,1,4 HEALTH INC,3443,10-K,857353,https://www.sec.gov/Archives/edgar/data/857353/0000912057-97-011262-index.htm,https://www.sec.gov/Archives/edgar/data/857353/0000912057-97-011262.txt
1997,1,99 CENTS ONLY STORE,5331,10-K,1011290,https://www.sec.gov/Archives/edgar/data/1011290/0001011290-97-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1011290/0001011290-97-000002.txt
1997,1,AAA NET REALTY FUND IX LTD,6519,10-K,860754,https://www.sec.gov/Archives/edgar/data/860754/0000860754-97-000002-index.htm,https://www.sec.gov/Archives/edgar/data/860754/0000860754-97-000002.txt
1997,1,AAA NET REALTY FUND X LTD,6500,10-K,887204,https://www.sec.gov/Archives/edgar/data/887204/0000887204-97-000002-index.htm,https://www.sec.gov/Archives/edgar/data/887204/0000887204-97-000002.txt
1997,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-97-000015-index.htm,https://www.sec.gov/Archives/edgar/data/824142/0001026608-97-000015.txt
1997,1,AARON RENTS INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000950109-97-002675-index.htm,https://www.sec.gov/Archives/edgar/data/706688/0000950109-97-002675.txt
1997,1,AASCHE TRANSPORTATION SERVICES INC,4213,10-K,927809,https://www.sec.gov/Archives/edgar/data/927809/0000950137-97-001258-index.htm,https://www.sec.gov/Archives/edgar/data/927809/0000950137-97-001258.txt
1997,1,ABATIX ENVIRONMENTAL CORP,5047,10-K,845779,https://www.sec.gov/Archives/edgar/data/845779/0000845779-97-000003-index.htm,https://www.sec.gov/Archives/edgar/data/845779/0000845779-97-000003.txt
1997,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0000912057-97-008391-index.htm,https://www.sec.gov/Archives/edgar/data/1800/0000912057-97-008391.txt
1997,1,ABLE TELCOM HOLDING CORP,1731,10-K,826411,https://www.sec.gov/Archives/edgar/data/826411/0000826411-97-000003-index.htm,https://www.sec.gov/Archives/edgar/data/826411/0000826411-97-000003.txt
1997,1,ABRAXAS PETROLEUM CORP,1311,10-K,867665,https://www.sec.gov/Archives/edgar/data/867665/0000867665-97-000005-index.htm,https://www.sec.gov/Archives/edgar/data/867665/0000867665-97-000005.txt
