Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2014,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001214659-14-002350-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000121465914002350/0001214659-14-002350.txt
2014,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478214000008/0000034782-14-000008.txt
2014,1,1st Century Bancshares/qq/ Inc.,6022,10-K,1420525,https://www.sec.gov/Archives/edgar/data/1420525/0001437749-14-003626-index.htm,https://www.sec.gov/Archives/edgar/data/1420525/000143774914003626/0001437749-14-003626.txt
2014,1,1st FRANKLIN FINANCIAL CORP,6141,10-K,38723,https://www.sec.gov/Archives/edgar/data/38723/0001376474-14-000084-index.htm,https://www.sec.gov/Archives/edgar/data/38723/000137647414000084/0001376474-14-000084.txt
2014,1,1st United Bancorp/qq/ Inc.,6022,10-K,1415277,https://www.sec.gov/Archives/edgar/data/1415277/0001171200-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1415277/000117120014000011/0001171200-14-000011.txt
2014,1,22nd Century Group/qq/ Inc.,2111,10-K,1347858,https://www.sec.gov/Archives/edgar/data/1347858/0001144204-14-004909-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000114420414004909/0001144204-14-004909.txt
2014,1,24HOLDINGS INC,6770,10-K,1025315,https://www.sec.gov/Archives/edgar/data/1025315/0001144204-14-017898-index.htm,https://www.sec.gov/Archives/edgar/data/1025315/000114420414017898/0001144204-14-017898.txt
2014,1,3D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0001562762-14-000032-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000156276214000032/0001562762-14-000032.txt
2014,1,3DICON CORP,3669,10-K,1375195,https://www.sec.gov/Archives/edgar/data/1375195/0001144204-14-019106-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000114420414019106/0001144204-14-019106.txt
2014,1,3DX Industries/qq/ Inc.,7200,10-K,1453122,https://www.sec.gov/Archives/edgar/data/1453122/0001554795-14-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1453122/000155479514000100/0001554795-14-000100.txt
2014,1,3M CO,3841,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001104659-14-009773-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465914009773/0001104659-14-009773.txt
2014,1,3PEA INTERNATIONAL/qq/ INC.,7389,10-K,1496443,https://www.sec.gov/Archives/edgar/data/1496443/0001019687-14-001068-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968714001068/0001019687-14-001068.txt
2014,1,4Licensing Corp,6794,10-K,58592,https://www.sec.gov/Archives/edgar/data/58592/0001140361-14-014795-index.htm,https://www.sec.gov/Archives/edgar/data/58592/000114036114014795/0001140361-14-014795.txt
2014,1,4NET SOFTWARE INC,7370,10-K,812149,https://www.sec.gov/Archives/edgar/data/812149/0001144204-14-001466-index.htm,https://www.sec.gov/Archives/edgar/data/812149/000114420414001466/0001144204-14-001466.txt
2014,1,5V Inc.,6770,10-K,1504876,https://www.sec.gov/Archives/edgar/data/1504876/0001213900-14-000465-index.htm,https://www.sec.gov/Archives/edgar/data/1504876/000121390014000465/0001213900-14-000465.txt
2014,1,808 RENEWABLE ENERGY CORP,4932,10-K,1467913,https://www.sec.gov/Archives/edgar/data/1467913/0001079974-14-000202-index.htm,https://www.sec.gov/Archives/edgar/data/1467913/000107997414000202/0001079974-14-000202.txt
2014,1,A. H. Belo Corp,2711,10-K,1413898,https://www.sec.gov/Archives/edgar/data/1413898/0001413898-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389814000014/0001413898-14-000014.txt
2014,1,AAA CAPITAL ENERGY FUND L.P.,6200,10-K,1057051,https://www.sec.gov/Archives/edgar/data/1057051/0001193125-14-121709-index.htm,https://www.sec.gov/Archives/edgar/data/1057051/000119312514121709/0001193125-14-121709.txt
2014,1,AAA CAPITAL ENERGY FUND L.P. II,6221,10-K,1227268,https://www.sec.gov/Archives/edgar/data/1227268/0001193125-14-121658-index.htm,https://www.sec.gov/Archives/edgar/data/1227268/000119312514121658/0001193125-14-121658.txt
2014,1,AAA Energy Opportunities Fund LLC,6221,10-K,1529004,https://www.sec.gov/Archives/edgar/data/1529004/0001104659-14-022181-index.htm,https://www.sec.gov/Archives/edgar/data/1529004/000110465914022181/0001104659-14-022181.txt
2014,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0000824142-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414214000015/0000824142-14-000015.txt
2014,1,AARON'S INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000706688-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000070668814000015/0000706688-14-000015.txt
2014,1,AASTROM BIOSCIENCES INC,2836,10-K,887359,https://www.sec.gov/Archives/edgar/data/887359/0001104659-14-019344-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000110465914019344/0001104659-14-019344.txt
2014,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0001047469-14-001176-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746914001176/0001047469-14-001176.txt
2014,1,ABERCROMBIE & FITCH CO /DE/,5651,10-K,1018840,https://www.sec.gov/Archives/edgar/data/1018840/0001018840-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884014000033/0001018840-14-000033.txt
2014,1,ABRAXAS PETROLEUM CORP,1311,10-K,867665,https://www.sec.gov/Archives/edgar/data/867665/0000867665-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766514000017/0000867665-14-000017.txt
2014,1,ACACIA RESEARCH CORP,6794,10-K,934549,https://www.sec.gov/Archives/edgar/data/934549/0000934549-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454914000004/0000934549-14-000004.txt
2014,1,ACADIA PHARMACEUTICALS INC,2834,10-K,1070494,https://www.sec.gov/Archives/edgar/data/1070494/0001193125-14-073040-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312514073040/0001193125-14-073040.txt
2014,1,ACADIA REALTY TRUST,6798,10-K,899629,https://www.sec.gov/Archives/edgar/data/899629/0000899629-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962914000008/0000899629-14-000008.txt
2014,1,ACCELERIZE NEW MEDIA INC,7389,10-K,1352952,https://www.sec.gov/Archives/edgar/data/1352952/0001437749-14-005011-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774914005011/0001437749-14-005011.txt
2014,1,ACCELERON PHARMA INC,2836,10-K,1280600,https://www.sec.gov/Archives/edgar/data/1280600/0001047469-14-002530-index.htm,https://www.sec.gov/Archives/edgar/data/1280600/000104746914002530/0001047469-14-002530.txt
2014,1,ACCELRYS/qq/ INC.,7372,10-K,1002388,https://www.sec.gov/Archives/edgar/data/1002388/0001002388-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1002388/000100238814000006/0001002388-14-000006.txt
