Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2011,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001214659-11-000973-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000121465911000973/0001214659-11-000973.txt
2011,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478211000008/0000034782-11-000008.txt
2011,1,1st Century Bancshares/qq/ Inc.,6022,10-K,1420525,https://www.sec.gov/Archives/edgar/data/1420525/0001420525-11-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1420525/000142052511000013/0001420525-11-000013.txt
2011,1,1st FRANKLIN FINANCIAL CORP,6141,10-K,38723,https://www.sec.gov/Archives/edgar/data/38723/0000038723-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/38723/000003872311000025/0000038723-11-000025.txt
2011,1,1st United Bancorp/qq/ Inc.,6022,10-K,1415277,https://www.sec.gov/Archives/edgar/data/1415277/0001171200-11-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1415277/000117120011000120/0001171200-11-000120.txt
2011,1,21ST CENTURY HOLDING CO,6331,10-K,1069996,https://www.sec.gov/Archives/edgar/data/1069996/0001140361-11-019672-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036111019672/0001140361-11-019672.txt
2011,1,24HOLDINGS INC,6770,10-K,1025315,https://www.sec.gov/Archives/edgar/data/1025315/0001144204-11-016270-index.htm,https://www.sec.gov/Archives/edgar/data/1025315/000114420411016270/0001144204-11-016270.txt
2011,1,3D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0000950123-11-014949-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000095012311014949/0000950123-11-014949.txt
2011,1,3DICON CORP,3669,10-K,1375195,https://www.sec.gov/Archives/edgar/data/1375195/0001144204-11-019278-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000114420411019278/0001144204-11-019278.txt
2011,1,3M CO,3841,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001104659-11-007845-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/0001104659-11-007845.txt
2011,1,4 KIDS ENTERTAINMENT INC,6794,10-K,58592,https://www.sec.gov/Archives/edgar/data/58592/0000058592-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/58592/000005859211000010/0000058592-11-000010.txt
2011,1,57th Street General Acquisition Corp,6770,10-K,1476719,https://www.sec.gov/Archives/edgar/data/1476719/0001144204-11-007797-index.htm,https://www.sec.gov/Archives/edgar/data/1476719/000114420411007797/0001144204-11-007797.txt
2011,1,5Barz International/qq/ Inc.,3080,10-K,1454124,https://www.sec.gov/Archives/edgar/data/1454124/0001300964-11-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1454124/000130096411000051/0001300964-11-000051.txt
2011,1,A. H. Belo CORP,2711,10-K,1413898,https://www.sec.gov/Archives/edgar/data/1413898/0000950123-11-024802-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000095012311024802/0000950123-11-024802.txt
2011,1,A.C. Moore Arts & Crafts/qq/ Inc.,5945,10-K,1042809,https://www.sec.gov/Archives/edgar/data/1042809/0000950123-11-031615-index.htm,https://www.sec.gov/Archives/edgar/data/1042809/000095012311031615/0000950123-11-031615.txt
2011,1,A123 SYSTEMS/qq/ INC.,3690,10-K,1167178,https://www.sec.gov/Archives/edgar/data/1167178/0001047469-11-002034-index.htm,https://www.sec.gov/Archives/edgar/data/1167178/000104746911002034/0001047469-11-002034.txt
2011,1,A5 Laboratories Inc.,0100,10-K,1381054,https://www.sec.gov/Archives/edgar/data/1381054/0001144204-11-002187-index.htm,https://www.sec.gov/Archives/edgar/data/1381054/000114420411002187/0001144204-11-002187.txt
2011,1,AAA CAPITAL ENERGY FUND L.P.,6200,10-K,1057051,https://www.sec.gov/Archives/edgar/data/1057051/0000950123-11-031371-index.htm,https://www.sec.gov/Archives/edgar/data/1057051/000095012311031371/0000950123-11-031371.txt
2011,1,AAA CAPITAL ENERGY FUND L.P. II,6221,10-K,1227268,https://www.sec.gov/Archives/edgar/data/1227268/0000950123-11-031379-index.htm,https://www.sec.gov/Archives/edgar/data/1227268/000095012311031379/0000950123-11-031379.txt
2011,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-11-000023-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660811000023/0001026608-11-000023.txt
2011,1,AARON'S INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000950123-11-018548-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000095012311018548/0000950123-11-018548.txt
2011,1,AB&T Financial CORP,6021,10-K,1435161,https://www.sec.gov/Archives/edgar/data/1435161/0001435161-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1435161/000143516111000004/0001435161-11-000004.txt
2011,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0001047469-11-001056-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746911001056/0001047469-11-001056.txt
2011,1,ABERCROMBIE & FITCH CO /DE/,5651,10-K,1018840,https://www.sec.gov/Archives/edgar/data/1018840/0000950123-11-030172-index.htm,https://www.sec.gov/Archives/edgar/data/1018840/000095012311030172/0000950123-11-030172.txt
2011,1,ABINGTON BANCORP/qq/ INC./PA,6036,10-K,1397533,https://www.sec.gov/Archives/edgar/data/1397533/0000950123-11-025234-index.htm,https://www.sec.gov/Archives/edgar/data/1397533/000095012311025234/0000950123-11-025234.txt
2011,1,ABOVENET INC,4899,10-K,1043533,https://www.sec.gov/Archives/edgar/data/1043533/0001144204-11-011709-index.htm,https://www.sec.gov/Archives/edgar/data/1043533/000114420411011709/0001144204-11-011709.txt
2011,1,ABRAXAS PETROLEUM CORP,1311,10-K,867665,https://www.sec.gov/Archives/edgar/data/867665/0000867665-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766511000008/0000867665-11-000008.txt
2011,1,AC Financial Services/qq/ Inc.,8741,10-K,1396710,https://www.sec.gov/Archives/edgar/data/1396710/0001104659-11-017992-index.htm,https://www.sec.gov/Archives/edgar/data/1029315/000110465911017992/0001104659-11-017992.txt
2011,1,ACACIA RESEARCH CORP,6794,10-K,934549,https://www.sec.gov/Archives/edgar/data/934549/0000934549-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454911000005/0000934549-11-000005.txt
2011,1,ACADIA PHARMACEUTICALS INC,2834,10-K,1070494,https://www.sec.gov/Archives/edgar/data/1070494/0001193125-11-062277-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312511062277/0001193125-11-062277.txt
2011,1,ACADIA REALTY TRUST,6798,10-K,899629,https://www.sec.gov/Archives/edgar/data/899629/0000930413-11-001472-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000093041311001472/0000930413-11-001472.txt
2011,1,ACCELERATED ACQUISITIONS II INC,6770,10-K,1430175,https://www.sec.gov/Archives/edgar/data/1430175/0001144204-11-018388-index.htm,https://www.sec.gov/Archives/edgar/data/1430175/000114420411018388/0001144204-11-018388.txt
2011,1,ACCELERATED ACQUISITIONS V INC,6770,10-K,1444145,https://www.sec.gov/Archives/edgar/data/1444145/0001144204-11-016847-index.htm,https://www.sec.gov/Archives/edgar/data/1444145/000114420411016847/0001144204-11-016847.txt
2011,1,ACCELERIZE NEW MEDIA INC,7389,10-K,1352952,https://www.sec.gov/Archives/edgar/data/1352952/0001437749-11-001899-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774911001899/0001437749-11-001899.txt
2011,1,ACCELLENT INC,3841,10-K,1342505,https://www.sec.gov/Archives/edgar/data/1342505/0001193125-11-078221-index.htm,https://www.sec.gov/Archives/edgar/data/1342505/000119312511078221/0001193125-11-078221.txt
2011,1,ACCESS NATIONAL CORP,6035,10-K,1176316,https://www.sec.gov/Archives/edgar/data/1176316/0001144204-11-017921-index.htm,https://www.sec.gov/Archives/edgar/data/1176316/000114420411017921/0001144204-11-017921.txt
2011,1,ACCESS PHARMACEUTICALS INC,2834,10-K,318306,https://www.sec.gov/Archives/edgar/data/318306/0000318306-11-000002-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830611000002/0000318306-11-000002.txt
2011,1,ACCO BRANDS CORP,2780,10-K,712034,https://www.sec.gov/Archives/edgar/data/712034/0001193125-11-045429-index.htm,https://www.sec.gov/Archives/edgar/data/712034/000119312511045429/0001193125-11-045429.txt
2011,1,ACCURIDE CORP,3714,10-K,817979,https://www.sec.gov/Archives/edgar/data/817979/0001047469-11-002734-index.htm,https://www.sec.gov/Archives/edgar/data/817979/000104746911002734/0001047469-11-002734.txt
2011,1,ACE Consulting Management/qq/ Inc.,8742,10-K,1265848,https://www.sec.gov/Archives/edgar/data/1265848/0001213900-11-001117-index.htm,https://www.sec.gov/Archives/edgar/data/1265848/000121390011001117/0001213900-11-001117.txt
2011,1,ACE Ltd,6331,10-K,896159,https://www.sec.gov/Archives/edgar/data/896159/0001193125-11-047473-index.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312511047473/0001193125-11-047473.txt
2011,1,ACE MARKETING & PROMOTIONS INC,7310,10-K,1084267,https://www.sec.gov/Archives/edgar/data/1084267/0001019687-11-001007-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000101968711001007/0001019687-11-001007.txt
2011,1,ACELRX PHARMACEUTICALS INC,2834,10-K,1427925,https://www.sec.gov/Archives/edgar/data/1427925/0001193125-11-082980-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000119312511082980/0001193125-11-082980.txt
2011,1,ACHILLION PHARMACEUTICALS INC,2834,10-K,1070336,https://www.sec.gov/Archives/edgar/data/1070336/0001193125-11-055015-index.htm,https://www.sec.gov/Archives/edgar/data/1070336/000119312511055015/0001193125-11-055015.txt
2011,1,ACI WORLDWIDE/qq/ INC.,7372,10-K,935036,https://www.sec.gov/Archives/edgar/data/935036/0000950123-11-015619-index.htm,https://www.sec.gov/Archives/edgar/data/935036/000095012311015619/0000950123-11-015619.txt
2011,1,ACL SEMICONDUCTORS INC,5065,10-K,934445,https://www.sec.gov/Archives/edgar/data/934445/0000930413-11-002463-index.htm,https://www.sec.gov/Archives/edgar/data/934445/000093041311002463/0000930413-11-002463.txt
2011,1,ACME PACKET INC,3576,10-K,1130258,https://www.sec.gov/Archives/edgar/data/1130258/0000950123-11-015697-index.htm,https://www.sec.gov/Archives/edgar/data/1130258/000095012311015697/0000950123-11-015697.txt
2011,1,ACME UNITED CORP,3420,10-K,2098,https://www.sec.gov/Archives/edgar/data/2098/0001026608-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660811000025/0001026608-11-000025.txt
2011,1,ACNB CORP,6022,10-K,715579,https://www.sec.gov/Archives/edgar/data/715579/0001047469-11-002026-index.htm,https://www.sec.gov/Archives/edgar/data/715579/000104746911002026/0001047469-11-002026.txt
2011,1,ACORDA THERAPEUTICS INC,2836,10-K,1008848,https://www.sec.gov/Archives/edgar/data/1008848/0001008848-11-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000100884811000018/0001008848-11-000018.txt
2011,1,ACORN ENERGY/qq/ INC.,8711,10-K,880984,https://www.sec.gov/Archives/edgar/data/880984/0001144204-11-015242-index.htm,https://www.sec.gov/Archives/edgar/data/880984/000114420411015242/0001144204-11-015242.txt
2011,1,ACQUIRED SALES CORP,6770,10-K,1391135,https://www.sec.gov/Archives/edgar/data/1391135/0000823579-11-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1391135/000082357911000102/0000823579-11-000102.txt
