Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2015,1,1347 Capital Corp,6770,10-K,1606163,https://www.sec.gov/Archives/edgar/data/1606163/0001144204-15-015101-index.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420415015101/0001144204-15-015101.txt
2015,1,1347 Property Insurance Holdings/qq/ Inc.,6331,10-K,1591890,https://www.sec.gov/Archives/edgar/data/1591890/0001387131-15-001018-index.htm,https://www.sec.gov/Archives/edgar/data/1591890/000138713115001018/0001387131-15-001018.txt
2015,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001214659-15-002534-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000121465915002534/0001214659-15-002534.txt
2015,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478215000008/0000034782-15-000008.txt
2015,1,1st Century Bancshares/qq/ Inc.,6022,10-K,1420525,https://www.sec.gov/Archives/edgar/data/1420525/0001437749-15-004232-index.htm,https://www.sec.gov/Archives/edgar/data/1420525/000143774915004232/0001437749-15-004232.txt
2015,1,1st FRANKLIN FINANCIAL CORP,6141,10-K,38723,https://www.sec.gov/Archives/edgar/data/38723/0001376474-15-000067-index.htm,https://www.sec.gov/Archives/edgar/data/38723/000137647415000067/0001376474-15-000067.txt
2015,1,2050 MOTORS/qq/ INC.,2844,10-K,867028,https://www.sec.gov/Archives/edgar/data/867028/0001493152-15-001100-index.htm,https://www.sec.gov/Archives/edgar/data/867028/000149315215001100/0001493152-15-001100.txt
2015,1,21st Century Oncology Holdings/qq/ Inc.,8011,10-K,1503518,https://www.sec.gov/Archives/edgar/data/1503518/0001047469-15-002890-index.htm,https://www.sec.gov/Archives/edgar/data/1503518/000104746915002890/0001047469-15-002890.txt
2015,1,22nd Century Group/qq/ Inc.,2111,10-K,1347858,https://www.sec.gov/Archives/edgar/data/1347858/0001144204-15-006466-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000114420415006466/0001144204-15-006466.txt
2015,1,24HOLDINGS INC,6770,10-K,1025315,https://www.sec.gov/Archives/edgar/data/1025315/0001144204-15-018679-index.htm,https://www.sec.gov/Archives/edgar/data/1025315/000114420415018679/0001144204-15-018679.txt
2015,1,2U/qq/ Inc.,7372,10-K,1459417,https://www.sec.gov/Archives/edgar/data/1459417/0001047469-15-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746915001305/0001047469-15-001305.txt
2015,1,3D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0000910638-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063815000003/0000910638-15-000003.txt
2015,1,3DICON CORP,3669,10-K,1375195,https://www.sec.gov/Archives/edgar/data/1375195/0001144204-15-019975-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000114420415019975/0001144204-15-019975.txt
2015,1,3DX Industries/qq/ Inc.,1040,10-K,1453122,https://www.sec.gov/Archives/edgar/data/1453122/0001554795-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1453122/000155479515000045/0001554795-15-000045.txt
2015,1,3M CO,3841,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001104659-15-009560-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465915009560/0001104659-15-009560.txt
2015,1,3PEA INTERNATIONAL/qq/ INC.,7389,10-K,1496443,https://www.sec.gov/Archives/edgar/data/1496443/0001019687-15-001085-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968715001085/0001019687-15-001085.txt
2015,1,4Licensing Corp,6794,10-K,58592,https://www.sec.gov/Archives/edgar/data/58592/0001140361-15-013663-index.htm,https://www.sec.gov/Archives/edgar/data/58592/000114036115013663/0001140361-15-013663.txt
2015,1,5V Inc.,6770,10-K,1504876,https://www.sec.gov/Archives/edgar/data/1504876/0001213900-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1504876/000121390015000009/0001213900-15-000009.txt
2015,1,6D Global Technologies/qq/ Inc,8742,10-K,1382219,https://www.sec.gov/Archives/edgar/data/1382219/0001185185-15-000643-index.htm,https://www.sec.gov/Archives/edgar/data/1382219/000118518515000643/0001185185-15-000643.txt
2015,1,800 Commerce/qq/ Inc.,7370,10-K,1558465,https://www.sec.gov/Archives/edgar/data/1558465/0001554795-15-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000155479515000121/0001554795-15-000121.txt
2015,1,A. H. Belo Corp,2711,10-K,1413898,https://www.sec.gov/Archives/edgar/data/1413898/0001413898-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389815000007/0001413898-15-000007.txt
2015,1,A1 Group/qq/ Inc.,2111,10-K,1432290,https://www.sec.gov/Archives/edgar/data/1432290/0001019687-15-001094-index.htm,https://www.sec.gov/Archives/edgar/data/1432290/000101968715001094/0001019687-15-001094.txt
2015,1,A10 Networks/qq/ Inc.,3576,10-K,1580808,https://www.sec.gov/Archives/edgar/data/1580808/0001580808-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080815000010/0001580808-15-000010.txt
2015,1,AAC Holdings/qq/ Inc.,8093,10-K,1606180,https://www.sec.gov/Archives/edgar/data/1606180/0001564590-15-001496-index.htm,https://www.sec.gov/Archives/edgar/data/1606180/000156459015001496/0001564590-15-001496.txt
2015,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0000824142-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414215000014/0000824142-15-000014.txt
2015,1,AARON'S INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0000706688-15-000089-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000070668815000089/0000706688-15-000089.txt
