Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
1996,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-96-000010-index.htm,https://www.sec.gov/Archives/edgar/data/34782/0000034782-96-000010.txt
1996,1,20TH CENTURY INDUSTRIES,6311,10-K,100331,https://www.sec.gov/Archives/edgar/data/100331/0000100331-96-000011-index.htm,https://www.sec.gov/Archives/edgar/data/100331/0000100331-96-000011.txt
1996,1,A L PHARMA INC,2834,10-K,730469,https://www.sec.gov/Archives/edgar/data/730469/0000730469-96-000001-index.htm,https://www.sec.gov/Archives/edgar/data/730469/0000730469-96-000001.txt
1996,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0000930661-96-000182-index.htm,https://www.sec.gov/Archives/edgar/data/824142/0000930661-96-000182.txt
1996,1,ABATIX ENVIRONMENTAL CORP,5080,10-K,845779,https://www.sec.gov/Archives/edgar/data/845779/0000845779-96-000002-index.htm,https://www.sec.gov/Archives/edgar/data/845779/0000845779-96-000002.txt
1996,1,ABC BANCORP,6022,10-K,351569,https://www.sec.gov/Archives/edgar/data/351569/0000931763-96-000098-index.htm,https://www.sec.gov/Archives/edgar/data/351569/0000931763-96-000098.txt
1996,1,ABLE TELCOM HOLDING CORP,1731,10-K,826411,https://www.sec.gov/Archives/edgar/data/826411/0000950144-96-000449-index.htm,https://www.sec.gov/Archives/edgar/data/826411/0000950144-96-000449.txt
1996,1,ABS INDUSTRIES INC /DE/,3460,10-K,313368,https://www.sec.gov/Archives/edgar/data/313368/0000902873-96-000014-index.htm,https://www.sec.gov/Archives/edgar/data/313368/0000902873-96-000014.txt
1996,1,ACCEL INTERNATIONAL CORP,6311,10-K,1985,https://www.sec.gov/Archives/edgar/data/1985/0000001985-96-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1985/0000001985-96-000001.txt
1996,1,ACE HARDWARE CORP,5070,10-K,2024,https://www.sec.gov/Archives/edgar/data/2024/0000002024-96-000014-index.htm,https://www.sec.gov/Archives/edgar/data/2024/0000002024-96-000014.txt
1996,1,ACKERLEY COMMUNICATIONS INC,7310,10-K,319120,https://www.sec.gov/Archives/edgar/data/319120/0000912057-96-005009-index.htm,https://www.sec.gov/Archives/edgar/data/319120/0000912057-96-005009.txt
1996,1,ACMAT CORP,6199,10-K,2062,https://www.sec.gov/Archives/edgar/data/2062/0000914039-96-000081-index.htm,https://www.sec.gov/Archives/edgar/data/2062/0000914039-96-000081.txt
1996,1,ACME UNITED CORP,3420,10-K,2098,https://www.sec.gov/Archives/edgar/data/2098/0000002098-96-000003-index.htm,https://www.sec.gov/Archives/edgar/data/2098/0000002098-96-000003.txt
1996,1,ADC TELECOMMUNICATIONS INC,3661,10-K,61478,https://www.sec.gov/Archives/edgar/data/61478/0000061478-96-000002-index.htm,https://www.sec.gov/Archives/edgar/data/61478/0000061478-96-000002.txt
